날짜,광어_대,광어_중,광어_소,방어_대,우럭_대,우럭_중,우럭_소,참돔_대,참돔_중,참돔_소
2018-01-03,21029.0,13823.0,3281.0,,,,,,,
2018-01-04,20694.0,13933.0,10459.0,15904.0,10831.0,8320.0,6184.0,17115.0,15331.0,12730.0
2018-01-05,22167.0,20336.0,16440.0,16004.0,10831.0,8320.0,6184.0,16952.0,15549.0,12728.0
2018-01-06,22167.0,20336.0,16440.0,16895.0,11367.0,8285.0,5362.0,16802.0,15521.0,12641.0
2018-01-07,22167.0,20336.0,16440.0,16895.0,11367.0,8285.0,5362.0,16802.0,15521.0,12641.0
2018-01-08,21841.0,21460.0,19800.0,18338.0,9922.0,7651.0,5868.0,17828.0,16646.0,14873.0
2018-01-09,20590.0,16115.0,12970.0,18121.0,6000.0,5094.0,4000.0,16410.0,14073.0,9566.0
2018-01-10,15111.0,12360.0,11070.0,15599.0,5500.0,5291.0,4341.0,17749.0,13489.0,10000.0
2018-01-11,20189.0,17376.0,12038.0,16798.0,5500.0,5291.0,4341.0,19310.0,18342.0,17215.0
2018-01-12,21321.0,21000.0,20750.0,16987.0,11513.0,10802.0,10500.0,21403.0,16198.0,11372.0
2018-01-13,21321.0,21000.0,20750.0,17961.0,10157.0,9636.0,8322.0,17518.0,14446.0,10916.0
2018-01-14,21321.0,21000.0,20750.0,17961.0,10157.0,9636.0,8322.0,17518.0,14446.0,10916.0
2018-01-15,21600.0,18208.0,12000.0,14998.0,4428.0,4165.0,4000.0,17568.0,13383.0,7326.0
2018-01-16,21153.0,16733.0,11383.0,12373.0,4428.0,4165.0,4000.0,17568.0,13383.0,7326.0
2018-01-17,19500.0,17737.0,16125.0,13148.0,4428.0,4165.0,4000.0,19522.0,16539.0,11707.0
2018-01-18,20703.0,20306.0,15190.0,17440.0,4428.0,4165.0,4000.0,19319.0,16756.0,10604.0
2018-01-19,20176.0,15367.0,12242.0,14970.0,4428.0,4165.0,4000.0,17579.0,14006.0,9298.0
2018-01-20,20176.0,15367.0,12242.0,15817.0,4428.0,4165.0,4000.0,17925.0,15578.0,12139.0
2018-01-21,20176.0,15367.0,12242.0,15817.0,4428.0,4165.0,4000.0,17925.0,15578.0,12139.0
2018-01-22,21205.0,20230.0,14726.0,12776.0,8500.0,8500.0,8100.0,17765.0,15846.0,11484.0
2018-01-23,18540.0,10739.0,3227.0,14664.0,8500.0,8500.0,8100.0,16776.0,14388.0,3980.0
2018-01-24,20687.0,20192.0,19876.0,14468.0,8500.0,8500.0,8100.0,16150.0,14317.0,11680.0
2018-01-25,18751.0,15609.0,14350.0,14065.0,8500.0,8500.0,8100.0,18435.0,17296.0,14835.0
2018-01-26,21355.0,16715.0,13182.0,16113.0,8500.0,8500.0,8100.0,17240.0,14205.0,10602.0
2018-01-27,21355.0,16715.0,13182.0,16840.0,12666.0,12399.0,10209.0,18431.0,16238.0,12082.0
2018-01-28,21355.0,16715.0,13182.0,16840.0,12666.0,12399.0,10209.0,18431.0,16238.0,12082.0
2018-01-29,19849.0,17469.0,13519.0,15690.0,12666.0,12399.0,10209.0,18328.0,13514.0,6805.0
2018-01-30,18823.0,13842.0,11067.0,15136.0,12703.0,12408.0,12300.0,17048.0,14493.0,10472.0
2018-01-31,19000.0,16162.0,15500.0,17059.0,12703.0,12408.0,12300.0,17341.0,13705.0,10804.0
2018-02-01,17984.0,15500.0,15500.0,19423.0,10216.0,7775.0,7065.0,18793.0,15534.0,11555.0
2018-02-02,21536.0,19337.0,15621.0,18891.0,11220.0,10133.0,4285.0,16725.0,12448.0,7553.0
2018-02-03,21536.0,19337.0,15621.0,16329.0,11220.0,10133.0,4285.0,18454.0,16084.0,10593.0
2018-02-04,21536.0,19337.0,15621.0,16329.0,11220.0,10133.0,4285.0,18454.0,16084.0,10593.0
2018-02-05,19000.0,17333.0,15500.0,18310.0,11220.0,10133.0,4285.0,17389.0,15229.0,13314.0
2018-02-06,21382.0,19734.0,15375.0,14607.0,9500.0,9500.0,9252.0,16389.0,12247.0,8832.0
2018-02-07,21000.0,19880.0,19000.0,15770.0,9500.0,9500.0,9252.0,19956.0,15947.0,8000.0
2018-02-08,16032.0,14517.0,13245.0,14893.0,11700.0,9490.0,8162.0,19913.0,15334.0,11170.0
2018-02-09,21016.0,19747.0,15303.0,14677.0,10849.0,9510.0,8473.0,17356.0,15843.0,10299.0
2018-02-10,21016.0,19747.0,15303.0,16719.0,10849.0,9510.0,8473.0,17424.0,14385.0,10720.0
2018-02-11,21016.0,19747.0,15303.0,16719.0,10849.0,9510.0,8473.0,17424.0,14385.0,10720.0
2018-02-12,18213.0,12984.0,10685.0,14285.0,10849.0,9510.0,8473.0,17205.0,14946.0,8191.0
2018-02-13,20115.0,17833.0,13769.0,11784.0,11000.0,8595.0,4838.0,16379.0,13674.0,6930.0
2018-02-14,21000.0,17305.0,11819.0,14829.0,12000.0,11818.0,10047.0,18254.0,15294.0,7838.0
