날짜,우럭_대,우럭_중,우럭_소,d우럭_대,d우럭_중,d우럭_소
2018-01-04,10831,8320,6184,0.1316476857,0.9475655431,0.9694267516
2018-01-06,11367,8285,5362,0.04948758194,-0.004206730769,-0.132923674
2018-01-08,9922,7651,5868,-0.1271223718,-0.07652383826,0.09436777322
2018-01-09,6000,5094,4000,-0.395283209,-0.3342046791,-0.3183367416
2018-01-10,5500,5291,4341,-0.08333333333,0.03867294857,0.08525
2018-01-11,5500,5291,4341,0,0,0
2018-01-12,11513,10802,10500,1.093272727,1.041580042,1.418797512
2018-01-13,10157,9636,8322,-0.117779901,-0.1079429735,-0.2074285714
2018-01-15,4428,4165,4000,-0.5640445013,-0.5677667082,-0.519346311
2018-01-16,4428,4165,4000,0,0,0
2018-01-17,4428,4165,4000,0,0,0
2018-01-18,4428,4165,4000,0,0,0
2018-01-19,4428,4165,4000,0,0,0
2018-01-22,8500,8500,8100,0.9196025294,1.040816327,1.025
2018-01-23,8500,8500,8100,0,0,0
2018-01-24,8500,8500,8100,0,0,0
2018-01-25,8500,8500,8100,0,0,0
2018-01-27,12666,12399,10209,0.4901176471,0.4587058824,0.2603703704
2018-01-29,12666,12399,10209,0,0,0
2018-01-30,12703,12408,12300,0.002921206379,0.0007258649891,0.2048192771
2018-01-31,12703,12408,12300,0,0,0
2018-02-01,10216,7775,7065,-0.1957805243,-0.3733881367,-0.4256097561
2018-02-02,11220,10133,4285,0.09827721222,0.3032797428,-0.3934890304
2018-02-03,11220,10133,4285,0,0,0
2018-02-05,11220,10133,4285,0,0,0
2018-02-06,9500,9500,9252,-0.1532976827,-0.06246916017,1.15915986
2018-02-07,9500,9500,9252,0,0,0
2018-02-08,11700,9490,8162,0.2315789474,-0.001052631579,-0.1178123649
2018-02-09,10849,9510,8473,-0.07273504274,0.00210748156,0.03810340603
2018-02-13,11000,8595,4838,0.01391833349,-0.09621451104,-0.4290097958
2018-02-14,12000,11818,10047,0.09090909091,0.3749854567,1.07668458
2018-02-15,12000,11818,10047,0,0,0
2018-02-19,10144,8277,7364,-0.1546666667,-0.2996276866,-0.267044889
2018-02-20,6230,5675,5337,-0.3858438486,-0.3143651081,-0.275258012
2018-02-21,7286,6083,4591,0.1695024077,0.07189427313,-0.139778902
2018-02-22,7286,6083,4591,0,0,0
2018-02-23,9499,5115,3233,0.3037331869,-0.1591320072,-0.2957961228
2018-02-24,11107,5334,3373,0.1692809769,0.04281524927,0.04330343334
2018-02-26,9633,4258,2838,-0.1327091024,-0.2017247844,-0.1586125111
2018-02-27,7551,4893,4000,-0.2161320461,0.1491310474,0.4094432699
2018-02-28,8250,8000,6080,0.09257052046,0.6349887595,0.52
2018-03-01,8200,7492,7000,-0.006060606061,-0.0635,0.1513157895
2018-03-02,8250,8000,6080,0.006097560976,0.06780565937,-0.1314285714
2018-03-06,10700,10574,10500,0.296969697,0.32175,0.7269736842
2018-03-07,11062,8241,4236,0.0338317757,-0.2206355211,-0.5965714286
2018-03-08,6303,5030,5000,-0.430211535,-0.38963718,0.1803588291
2018-03-09,9318,8746,8137,0.4783436459,0.7387673956,0.6274
2018-03-10,9693,6197,4510,0.0402446877,-0.2914475189,-0.4457416738
2018-03-13,6000,5918,5137,-0.3809965955,-0.04502178473,0.1390243902
2018-03-14,6817,6466,5125,0.1361666667,0.09259885096,-0.002335993771
2018-03-15,5675,4756,3801,-0.1675223705,-0.2644602536,-0.2583414634
2018-03-16,5714,4821,4073,0.006872246696,0.01366694701,0.07156011576
2018-03-17,6688,4894,3908,0.1704585229,0.0151420867,-0.04051068009
2018-03-19,8217,7476,6961,0.2286184211,0.5275847977,0.7812180143
2018-03-21,8097,6984,6533,-0.01460387003,-0.0658105939,-0.06148541876
2018-03-22,6165,5502,5000,-0.2386068914,-0.2121993127,-0.2346548293
2018-03-23,8328,5778,4748,0.3508515815,0.05016357688,-0.0504
2018-03-24,6000,5743,5006,-0.2795389049,-0.006057459328,0.05433866891
2018-03-26,8328,5778,4748,0.388,0.006094375762,-0.05153815421
2018-03-27,9370,6953,6000,0.1251200768,0.2033575632,0.2636899747
2018-03-28,9370,6953,6000,0,0,0
2018-03-29,7224,6493,5022,-0.2290288154,-0.06615849274,-0.163
2018-03-30,10031,9260,6479,0.3885658915,0.4261512398,0.2901234568
2018-03-31,9476,6054,4877,-0.05532848171,-0.3462203024,-0.2472603797
2018-04-02,7931,7522,7092,-0.1630434783,0.2424843079,0.4541726471
2018-04-03,7931,7522,7092,0,0,0
2018-04-04,7931,7522,7092,0,0,0
2018-04-05,8492,7842,7200,0.07073509015,0.04254187716,0.0152284264
2018-04-06,8949,7988,7203,0.05381535563,0.01861769957,0.0004166666667
2018-04-07,8560,6375,5440,-0.04346854397,-0.2019278918,-0.2447591281
2018-04-10,7000,7000,6862,-0.1822429907,0.09803921569,0.2613970588
2018-04-11,7411,7212,7017,0.05871428571,0.03028571429,0.02258816672
2018-04-12,7040,6775,6634,-0.05006072055,-0.06059345535,-0.05458173008
2018-04-13,7230,7200,7200,0.02698863636,0.06273062731,0.08531805849
2018-04-14,8242,7415,7109,0.1399723375,0.02986111111,-0.01263888889
2018-04-16,8242,7415,7109,0,0,0
2018-04-17,8242,7415,7109,0,0,0
2018-04-18,8242,7415,7109,0,0,0
2018-04-19,8242,7415,7109,0,0,0
2018-04-20,8242,7415,7109,0,0,0
2018-04-21,7735,7247,6112,-0.06151419558,-0.0226567768,-0.1402447602
2018-04-23,8500,8366,8200,0.0989010989,0.1544087209,0.3416230366
2018-04-24,8500,8366,8200,0,0,0
2018-04-25,8500,8366,8200,0,0,0
2018-04-26,8500,8366,8200,0,0,0
2018-04-27,8863,8486,7558,0.04270588235,0.01434377241,-0.07829268293
