itemId,itemName,stateDesc,raisedDesc,originDesc,regionDesc,salesUnitQuantity,unitDesc,sizeDesc,sizeCriteria,storeCount
1,광어,활어,양식,국산,제주,1,kg,소,500g~1kg미만,33
2,광어,활어,양식,국산,제주,1,kg,중,1~2kg미만,70
3,광어,활어,양식,국산,제주,1,kg,대,2~3kg미만,75
13,레드 킹크랩,활어,자연산,수입산,러시아,1,kg,중,2~3kg미만,75
17,대게,활어,자연산,수입산,러시아,1,kg,대,1.2~1.5kg미만,73
38,랍스터,활어,자연산,수입산,캐나다,1,kg,중,2~3kg미만,1
45,수꽃게,활어,자연산,국산,서해,1,kg,대,3~4마리,1
48,수꽃게,냉동,자연산,국산,서해,1,kg,대,3~4마리,11
49,암꽃게,냉동,자연산,국산,서해,1,kg,대,3~4마리,12
51,농어,활어,양식,수입산,중국,1,kg,소,1kg미만,2
52,농어,활어,양식,수입산,중국,1,kg,중,1~2kg미만,59
53,농어,활어,양식,수입산,중국,1,kg,대,2~3kg미만,83
54,참돔,활어,양식,수입산,일본,1,kg,대,2~3kg미만,65
55,참돔,활어,양식,수입산,일본,1,kg,중,1~2kg미만,40
60,참돔,활어,양식,국산,없음,1,kg,소,1kg미만,1
61,참돔,활어,양식,국산,없음,1,kg,중,1~2kg미만,43
62,참돔,활어,양식,국산,없음,1,kg,대,2~3kg미만,51
63,돌돔,활어,양식,수입산,일본,1,kg,대,2~3kg미만,21
64,돌돔,활어,양식,수입산,일본,1,kg,소,500g~1kg미만,8
65,돌돔,활어,양식,수입산,일본,1,kg,소소,500g미만,2
66,돌돔,활어,양식,국산,없음,1,kg,소소,500g미만,19
67,돌돔,활어,양식,국산,없음,1,kg,소,500g~1kg미만,6
73,벵에돔,활어,양식,수입산,일본,1,kg,대,700g~1kg미만,5
74,벵에돔,활어,양식,수입산,일본,1,kg,중,500~700g미만,2
78,강담돔,활어,양식,수입산,일본,1,kg,소,500g~1kg미만,3
79,강담돔,활어,양식,수입산,일본,1,kg,중,1~2kg미만,24
85,가숭어,활어,양식,국산,없음,1,kg,소,1kg미만,3
86,가숭어,활어,양식,국산,없음,1,kg,대,2kg이상,5
87,가숭어,활어,자연산,국산,없음,1,kg,대,2kg이상,11
90,보리숭어,활어,자연산,국산,없음,1,kg,대,2kg이상,8
91,능성어,활어,양식,국산,없음,1,kg,대,2~2.5kg미만,39
92,능성어,활어,양식,수입산,중국,1,kg,소,1.5kg미만,3
