s_query,market,store,store_id,comments,like,rating
노량진,노량진 1층,군산상회,833,979,1688,4.9
노량진,노량진 1층,중앙꽃게,5,2962,2726,4.7
노량진,노량진 2층,제주회수산,822,1060,1907,4.9
노량진,노량진 1층,청양수산,13,5329,7007,4.9
노량진,노량진 1층,영신수산,6,3696,3773,4.8
노량진,노량진 1층,진도진진수산,1159,281,1130,4.9
노량진,노량진 1층,일성수산,204,6422,6810,4.8
노량진,노량진 1층,대일수산,835,1468,2017,4.9
노량진,노량진 1층,서울수산,821,707,1694,4.9
노량진,노량진 1층,전라상회,4,6522,10037,4.8
노량진,노량진 1층,부부전복,7,6422,5842,4.8
노량진,노량진 1층,신남도수산,846,2417,3429,4.9
노량진,노량진 1층,대원,710,1509,1933,4.7
노량진,노량진 1층,대부도,826,3003,4405,5.0
노량진,노량진 2층,정읍수산,335,1515,2908,4.8
노량진,노량진 1층,부안꽃게,813,2642,4273,5.0
노량진,노량진 2층,푸른바다,823,1170,2093,4.9
노량진,노량진 1층,손선장,1314,6733,9393,4.9
노량진,노량진 1층,충남미림,834,1562,2480,4.8
노량진,노량진 1층,대원수산,421,1574,2570,4.9
노량진,노량진 1층,강변상회,1155,589,1484,4.9
노량진,노량진 1층,독도수산,711,3216,3622,4.9
노량진,노량진 2층,신안상회,840,917,1644,4.9
노량진,노량진 1층,당진수산,11,5594,6196,4.7
노량진,노량진 1층,서산안면도,295,4999,5000,4.9
노량진,노량진 2층,광주무등산,10,1824,2267,4.6
노량진,노량진 1층,부안수산,14,3376,4267,4.8
노량진,노량진 1층,신안군향우회,830,5088,6391,4.9
노량진,노량진 1층,땅끝마을,849,1369,2684,4.9
노량진,노량진 1층,부산자갈치,16,2011,3807,4.9
노량진,노량진 1층,공주상회,831,1234,2616,4.9
노량진,노량진 1층,의리수산,1164,1507,1428,5.0
노량진,노량진 2층,부건꽃게,8,808,659,4.0
노량진,노량진 1층,전북상회,855,297,605,4.8
노량진,노량진 1층,충청수산,1145,310,618,4.9
노량진,노량진 1층,목포항,832,623,714,4.7
노량진,노량진 2층,여수오동도,838,198,456,4.6
노량진,노량진 1층,월드수산,1139,256,269,5.0
노량진,노량진 1층,목포상회,12,1110,1970,4.4
노량진,노량진 2층,해운대식당,242,677,847,3.9
노량진,노량진 1층,세아수산,1158,236,370,4.8
노량진,노량진 1층,주문진,1163,609,856,5.0
노량진,노량진 2층,모자상회,1148,618,723,4.9
노량진,노량진 2층,강남상회,1386,170,246,4.8
노량진,노량진 1층,태평양수산,848,213,377,4.8
노량진,노량진 1층,호랑이수산,1147,208,575,4.8
노량진,노량진 2층,홍도상회,836,711,632,4.6
노량진,노량진 1층,순천만상회,1385,184,395,4.8
노량진,노량진 2층,국제수산,829,227,538,4.9
노량진,노량진 1층,전라도수산,1078,147,93,4.7
노량진,노량진 2층,노들수산,1156,128,445,4.8
노량진,노량진 1층,신안군횟집,1220,140,226,4.8
노량진,노량진 1층,희망수산,1409,117,515,5.0
