기준시장,어종,변수,타임래그,상관관계,P-value,파일명,변수명
전체평균,광어,KOSPI,136,0.6752,4.25E-211,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",KOSPI
전체평균,광어,USD/KRW,1,0.6516,4.61E-208,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",USD/KRW
전체평균,광어,VIX,419,0.4156,2.15E-55,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",VIX
전체평균,광어,WTI,1,0.7275,6.74E-283,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",WTI
전체평균,광어,GOLD,314,0.9452,0.00E+00,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",Gold
전체평균,광어,SILVER,238,0.8391,0.00E+00,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",Silver
전체평균,광어,MOVE,18,0.6623,3.75E-215,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",MOVE
전체평균,광어,양식 활광어(대) 가락시장 거래가격,64,0.8214,0.00E+00,d활광어(양식)가격_가락,광어_대
전체평균,농어,KOSPI,179,0.6396,8.66E-178,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",KOSPI
전체평균,농어,USD/KRW,1,0.7961,0.00E+00,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",USD/KRW
전체평균,농어,VIX,391,0.4587,5.15E-70,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",VIX
전체평균,농어,WTI,100,0.7297,4.63E-269,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",WTI
전체평균,농어,GOLD,361,0.9192,0.00E+00,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",Gold
전체평균,농어,SILVER,290,0.8386,0.00E+00,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",Silver
전체평균,농어,MOVE,1,0.7931,0.00E+00,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",MOVE
전체평균,대게,KOSPI,148,0.4325,1.44E-73,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",KOSPI
전체평균,대게,USD/KRW,90,0.3080,4.00E-37,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",USD/KRW
전체평균,대게,VIX,-,-,-,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",VIX
전체평균,대게,WTI,91,0.2793,1.51E-30,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",WTI
전체평균,대게,GOLD,177,0.4844,1.76E-91,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",Gold
전체평균,대게,SILVER,117,0.5213,2.93E-112,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",Silver
전체평균,대게,MOVE,-,-,-,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",MOVE
전체평균,방어,KOSPI,282,-7527.0000,5.09E-139,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",KOSPI
전체평균,방어,USD/KRW,387,0.8947,2.20E-229,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",USD/KRW
전체평균,방어,VIX,133,0.6488,2.95E-109,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",VIX
전체평균,방어,WTI,520,0.8073,2.79E-120,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",WTI
전체평균,방어,GOLD,1,0.8214,1.14E-254,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",Gold
전체평균,방어,SILVER,1,0.4584,5.11E-55,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",Silver
전체평균,방어,MOVE,487,0.8961,8.42E-196,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",MOVE
전체평균,방어,자연산 활방어(대) 가락시장 거래가격,5,336.0000,7.75E-30,d활방어(자연산)가격_가락,방어(자연)_대
전체평균,연어,KOSPI,329,0.6088,1.15E-141,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",KOSPI
전체평균,연어,USD/KRW,1,0.8976,0.00E+00,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",USD/KRW
전체평균,연어,VIX,529,0.4811,6.52E-70,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",VIX
전체평균,연어,WTI,199,0.6898,4.98E-215,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",WTI
전체평균,연어,GOLD,633,0.9212,0.00E+00,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",Gold
전체평균,연어,SILVER,400,0.8022,4.57E-297,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",Silver
전체평균,연어,MOVE,71,0.8332,0.00E+00,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",MOVE
전체평균,연어,노르웨이 활연어 거래량,374,0.2386,1.29E-29,d노르웨이활연어(양식)물량&가격_주별동일,활연어_거래량(톤)
전체평균,연어,노르웨이 활연어 가격,32,0.7991,0.00E+00,d노르웨이활연어(양식)물량&가격_주별동일,활연어_가격(NOK/kg)
전체평균,우럭,KOSPI,155,0.6998,1.24E-31,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",KOSPI
전체평균,우럭,USD/KRW,121,0.6977,2.51E-36,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",USD/KRW
전체평균,우럭,VIX,38,0.4799,5.26E-20,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",VIX
전체평균,우럭,WTI,14,-0.6190,4.33E-38,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",WTI
