날짜,산지매입가_생계유통(대),산지매입가_위탁생계(중),도매(10호),도매(전체),소매가
2025-01-08,"2,005","1,607","3,630","3,586","5,754"
2025-01-07,"2,005","1,642","3,590","3,668","5,754"
2025-01-06,"2,000","1,626","3,694","3,609","5,754"
2025-01-03,"2,000","1,625","3,698","3,725","5,638"
2025-01-02,"1,900","1,651","3,787","3,598","5,403"
2024-12-31,"1,800","1,640","3,588","3,575","5,384"
2024-12-30,"1,700","1,648","3,429","3,305","5,384"
2024-12-27,"1,600","1,673","3,500","3,272","5,383"
2024-12-26,"1,700","1,648","3,494","3,378","5,393"
2024-12-24,"1,700","1,655","3,505","3,351","5,460"
2024-12-23,"1,600","1,645","3,440","3,092","5,471"
2024-12-20,"1,665","1,646","3,510","3,257","5,390"
2024-12-19,"1,800","1,646","3,496","3,431","5,329"
2024-12-18,"1,778","1,649","3,483","3,369","5,274"
2024-12-17,"1,681","1,642","3,440","3,405","5,292"
2024-12-16,"1,600","1,642","3,389","3,215","5,335"
2024-12-13,"1,500","1,654","3,233","3,089","5,271"
2024-12-12,"1,300","1,644","3,227","2,891","5,242"
2024-12-11,"1,300","1,636","3,395","2,720","5,307"
2024-12-10,"1,400","1,641","3,421","2,879","5,293"
2024-12-09,"1,600","1,645","3,410","3,173","5,318"
2024-12-06,"1,650","1,649","3,497","3,302","5,226"
2024-12-05,"1,700","1,571","3,549","3,411","5,167"
2024-12-04,"1,700","1,627","3,511","3,364","5,221"
2024-12-03,"1,600","1,626","3,380","3,256","5,274"
2024-12-02,"1,400","1,640","3,359","2,984","5,312"
2024-11-29,"1,259","1,698","3,069","2,827","5,204"
2024-11-28,"1,200","1,633","2,878","2,540","5,210"
2024-11-27,"1,200","1,630","2,985","2,599","5,108"
2024-11-26,"1,300","1,634","3,131","2,706","5,108"
2024-11-25,"1,400","1,623","3,312","2,887","5,108"
2024-11-22,"1,347","1,640","3,311","2,886","4,979"
2024-11-21,"1,231","1,625","3,114","2,857","4,846"
2024-11-20,"1,200","1,615","3,019","2,790","4,922"
2024-11-19,"1,099","1,636","2,810","2,577","4,922"
2024-11-18,"1,000","1,641","2,817","2,281","4,922"
2024-11-15,906,"1,709","2,856","2,342","4,909"
2024-11-14,910,"1,637","2,934","2,419","4,960"
2024-11-13,"1,025","1,609","3,038","2,451","5,192"
