priceDate,market,minPrice,avgPrice,maxPrice
2020-10-10 00:00:00,노량진 1층,30000,30000,30000
2020-10-11 00:00:00,노량진 1층,30000,30000,30000
2020-10-12 00:00:00,노량진 1층,30000,30000,30000
2020-10-13 00:00:00,노량진 1층,30000,30000,30000
2020-10-14 00:00:00,노량진 1층,30000,30000,30000
2020-10-15 00:00:00,노량진 1층,30000,35000,40000
2020-10-16 00:00:00,구리농수산물시장,30000,30000,30000
2020-10-16 00:00:00,노량진 1층,30000,32500,35000
2020-10-16 00:00:00,노량진 2층,25000,25000,25000
2020-10-17 00:00:00,구리농수산물시장,30000,30000,30000
2020-10-17 00:00:00,노량진 1층,35000,35000,35000
2020-10-17 00:00:00,노량진 2층,25000,25000,25000
2020-10-18 00:00:00,노량진 1층,35000,35000,35000
2020-10-18 00:00:00,노량진 2층,25000,25000,25000
2020-10-19 00:00:00,노량진 1층,35000,35000,35000
2020-10-19 00:00:00,노량진 2층,25000,25000,25000
2020-10-20 00:00:00,가락시장,30000,30000,30000
2020-10-20 00:00:00,노량진 1층,35000,35000,35000
2020-10-20 00:00:00,노량진 2층,25000,25000,25000
2020-10-21 00:00:00,가락시장,30000,30000,30000
2020-10-21 00:00:00,노량진 1층,29000,32000,35000
2020-10-21 00:00:00,노량진 2층,21500,21500,21500
2020-10-22 00:00:00,노량진 1층,29000,29000,29000
2020-10-22 00:00:00,노량진 2층,21500,21500,21500
2020-10-22 00:00:00,부산민락어민활어직판장,30000,30000,30000
2020-10-23 00:00:00,강서농수산물시장,32500,32500,32500
2020-10-23 00:00:00,노량진 1층,29000,33250,37500
2020-10-23 00:00:00,노량진 2층,21500,21500,21500
2020-10-23 00:00:00,부산민락어민활어직판장,30000,30000,30000
2020-10-23 00:00:00,수원농수산물시장,25000,25000,25000
2020-10-23 00:00:00,안양평촌농수산물시장,35000,35000,35000
2020-10-24 00:00:00,가락시장,25000,25000,25000
2020-10-24 00:00:00,강서농수산물시장,32500,32500,32500
2020-10-24 00:00:00,구리농수산물시장,35000,35000,35000
2020-10-24 00:00:00,노량진 1층,30000,33750,37500
2020-10-24 00:00:00,노량진 2층,21500,23250,25000
2020-10-24 00:00:00,부산민락어민활어직판장,30000,30000,30000
2020-10-24 00:00:00,안양평촌농수산물시장,35000,35000,35000
2020-10-25 00:00:00,가락시장,30000,36250,42500
2020-10-25 00:00:00,강서농수산물시장,32500,32500,32500
