날짜,week,활연어_거래량(톤),활연어_가격(NOK/kg),d활연어_거래량(톤),d활연어_가격(NOK/kg)
2018-01-02,2018U01,14259,58.52,0,0
2018-01-03,2018U01,14259,58.52,0,0
2018-01-04,2018U01,14259,58.52,0,0
2018-01-05,2018U01,14259,58.52,0,0
2018-01-06,2018U01,14259,58.52,0,0
2018-01-07,2018U01,14259,58.52,0,0
2018-01-08,2018U02,17007,57.28,0.1927203871,-0.02118933698
2018-01-09,2018U02,17007,57.28,0,0
2018-01-10,2018U02,17007,57.28,0,0
2018-01-11,2018U02,17007,57.28,0,0
2018-01-12,2018U02,17007,57.28,0,0
2018-01-13,2018U02,17007,57.28,0,0
2018-01-14,2018U02,17007,57.28,0,0
2018-01-15,2018U03,16479,55.46,-0.03104603987,-0.03177374302
2018-01-16,2018U03,16479,55.46,0,0
2018-01-17,2018U03,16479,55.46,0,0
2018-01-18,2018U03,16479,55.46,0,0
2018-01-19,2018U03,16479,55.46,0,0
2018-01-20,2018U03,16479,55.46,0,0
2018-01-21,2018U03,16479,55.46,0,0
2018-01-22,2018U04,17441,56.96,0.05837732872,0.02704652001
2018-01-23,2018U04,17441,56.96,0,0
2018-01-24,2018U04,17441,56.96,0,0
2018-01-25,2018U04,17441,56.96,0,0
2018-01-26,2018U04,17441,56.96,0,0
2018-01-27,2018U04,17441,56.96,0,0
2018-01-28,2018U04,17441,56.96,0,0
2018-01-29,2018U05,17266,56.86,-0.01003382834,-0.001755617978
2018-01-30,2018U05,17266,56.86,0,0
2018-01-31,2018U05,17266,56.86,0,0
2018-02-01,2018U05,17266,56.86,0,0
2018-02-02,2018U05,17266,56.86,0,0
2018-02-03,2018U05,17266,56.86,0,0
2018-02-04,2018U05,17266,56.86,0,0
2018-02-05,2018U06,16515,54.69,-0.04349588787,-0.03816391136
2018-02-06,2018U06,16515,54.69,0,0
2018-02-07,2018U06,16515,54.69,0,0
2018-02-08,2018U06,16515,54.69,0,0
2018-02-09,2018U06,16515,54.69,0,0
2018-02-10,2018U06,16515,54.69,0,0
2018-02-11,2018U06,16515,54.69,0,0
2018-02-12,2018U07,15052,56.52,-0.08858613382,0.03346132748
2018-02-13,2018U07,15052,56.52,0,0
2018-02-14,2018U07,15052,56.52,0,0
2018-02-15,2018U07,15052,56.52,0,0
2018-02-16,2018U07,15052,56.52,0,0
2018-02-17,2018U07,15052,56.52,0,0
2018-02-18,2018U07,15052,56.52,0,0
2018-02-19,2018U08,15688,62.2,0.04225352113,0.1004953999
2018-02-20,2018U08,15688,62.2,0,0
2018-02-21,2018U08,15688,62.2,0,0
2018-02-22,2018U08,15688,62.2,0,0
2018-02-23,2018U08,15688,62.2,0,0
2018-02-24,2018U08,15688,62.2,0,0
2018-02-25,2018U08,15688,62.2,0,0
2018-02-26,2018U09,15230,65.16,-0.02919428863,0.04758842444
2018-02-27,2018U09,15230,65.16,0,0
2018-02-28,2018U09,15230,65.16,0,0
2018-03-01,2018U09,15230,65.16,0,0
2018-03-02,2018U09,15230,65.16,0,0
2018-03-03,2018U09,15230,65.16,0,0
2018-03-04,2018U09,15230,65.16,0,0
2018-03-05,2018U10,15825,67.57,0.03906762968,0.03698588091
2018-03-06,2018U10,15825,67.57,0,0
2018-03-07,2018U10,15825,67.57,0,0
2018-03-08,2018U10,15825,67.57,0,0
2018-03-09,2018U10,15825,67.57,0,0
2018-03-10,2018U10,15825,67.57,0,0
2018-03-11,2018U10,15825,67.57,0,0
2018-03-12,2018U11,17862,67.94,0.1287203791,0.005475802871
2018-03-13,2018U11,17862,67.94,0,0
2018-03-14,2018U11,17862,67.94,0,0
2018-03-15,2018U11,17862,67.94,0,0
2018-03-16,2018U11,17862,67.94,0,0
2018-03-17,2018U11,17862,67.94,0,0
2018-03-18,2018U11,17862,67.94,0,0
2018-03-19,2018U12,19138,65.12,0.07143656925,-0.04150721225
2018-03-20,2018U12,19138,65.12,0,0
2018-03-21,2018U12,19138,65.12,0,0
2018-03-22,2018U12,19138,65.12,0,0
2018-03-23,2018U12,19138,65.12,0,0
2018-03-24,2018U12,19138,65.12,0,0
2018-03-25,2018U12,19138,65.12,0,0
2018-03-26,2018U13,11423,71.75,-0.4031246734,0.1018120393
2018-03-27,2018U13,11423,71.75,0,0
2018-03-28,2018U13,11423,71.75,0,0
2018-03-29,2018U13,11423,71.75,0,0
2018-03-30,2018U13,11423,71.75,0,0
2018-03-31,2018U13,11423,71.75,0,0
2018-04-01,2018U13,11423,71.75,0,0
2018-04-02,2018U14,13953,71.5,0.2214829729,-0.003484320557
2018-04-03,2018U14,13953,71.5,0,0
2018-04-04,2018U14,13953,71.5,0,0
2018-04-05,2018U14,13953,71.5,0,0
2018-04-06,2018U14,13953,71.5,0,0
2018-04-07,2018U14,13953,71.5,0,0
2018-04-08,2018U14,13953,71.5,0,0
2018-04-09,2018U15,15751,68.21,0.1288611768,-0.04601398601
2018-04-10,2018U15,15751,68.21,0,0
2018-04-11,2018U15,15751,68.21,0,0
2018-04-12,2018U15,15751,68.21,0,0
2018-04-13,2018U15,15751,68.21,0,0
2018-04-14,2018U15,15751,68.21,0,0
2018-04-15,2018U15,15751,68.21,0,0
2018-04-16,2018U16,15094,67.32,-0.04171163736,-0.01304794018
2018-04-17,2018U16,15094,67.32,0,0
2018-04-18,2018U16,15094,67.32,0,0
2018-04-19,2018U16,15094,67.32,0,0
2018-04-20,2018U16,15094,67.32,0,0
2018-04-21,2018U16,15094,67.32,0,0
2018-04-22,2018U16,15094,67.32,0,0
2018-04-23,2018U17,14510,66.79,-0.03869087054,-0.007872846108
2018-04-24,2018U17,14510,66.79,0,0
2018-04-25,2018U17,14510,66.79,0,0
2018-04-26,2018U17,14510,66.79,0,0
2018-04-27,2018U17,14510,66.79,0,0
2018-04-28,2018U17,14510,66.79,0,0
2018-04-29,2018U17,14510,66.79,0,0
2018-04-30,2018U18,13735,71.16,-0.05341144039,0.06542895643
2018-05-01,2018U18,13735,71.16,0,0
2018-05-02,2018U18,13735,71.16,0,0
2018-05-03,2018U18,13735,71.16,0,0
2018-05-04,2018U18,13735,71.16,0,0
2018-05-05,2018U18,13735,71.16,0,0
2018-05-06,2018U18,13735,71.16,0,0
2018-05-07,2018U19,14991,75.4,0.09144521296,0.05958403598
2018-05-08,2018U19,14991,75.4,0,0
2018-05-09,2018U19,14991,75.4,0,0
2018-05-10,2018U19,14991,75.4,0,0
2018-05-11,2018U19,14991,75.4,0,0
2018-05-12,2018U19,14991,75.4,0,0
2018-05-13,2018U19,14991,75.4,0,0
2018-05-14,2018U20,14951,76.09,-0.002668267627,0.009151193634
2018-05-15,2018U20,14951,76.09,0,0
2018-05-16,2018U20,14951,76.09,0,0
2018-05-17,2018U20,14951,76.09,0,0
2018-05-18,2018U20,14951,76.09,0,0
2018-05-19,2018U20,14951,76.09,0,0
2018-05-20,2018U20,14951,76.09,0,0
2018-05-21,2018U21,15363,73.71,0.02755668517,-0.03127874885
2018-05-22,2018U21,15363,73.71,0,0
2018-05-23,2018U21,15363,73.71,0,0
2018-05-24,2018U21,15363,73.71,0,0
2018-05-25,2018U21,15363,73.71,0,0
2018-05-26,2018U21,15363,73.71,0,0
2018-05-27,2018U21,15363,73.71,0,0
2018-05-28,2018U22,16826,66.17,0.09522879646,-0.102292769
2018-05-29,2018U22,16826,66.17,0,0
2018-05-30,2018U22,16826,66.17,0,0
2018-05-31,2018U22,16826,66.17,0,0
2018-06-01,2018U22,16826,66.17,0,0
2018-06-02,2018U22,16826,66.17,0,0
2018-06-03,2018U22,16826,66.17,0,0
2018-06-04,2018U23,16732,61.34,-0.005586592179,-0.07299380384
2018-06-05,2018U23,16732,61.34,0,0
2018-06-06,2018U23,16732,61.34,0,0
2018-06-07,2018U23,16732,61.34,0,0
2018-06-08,2018U23,16732,61.34,0,0
2018-06-09,2018U23,16732,61.34,0,0
2018-06-10,2018U23,16732,61.34,0,0
2018-06-11,2018U24,16548,65,-0.01099689218,0.05966742745
2018-06-12,2018U24,16548,65,0,0
2018-06-13,2018U24,16548,65,0,0
2018-06-14,2018U24,16548,65,0,0
2018-06-15,2018U24,16548,65,0,0
2018-06-16,2018U24,16548,65,0,0
2018-06-17,2018U24,16548,65,0,0
2018-06-18,2018U25,16297,61.7,-0.01516799613,-0.05076923077
2018-06-19,2018U25,16297,61.7,0,0
2018-06-20,2018U25,16297,61.7,0,0
2018-06-21,2018U25,16297,61.7,0,0
2018-06-22,2018U25,16297,61.7,0,0
2018-06-23,2018U25,16297,61.7,0,0
2018-06-24,2018U25,16297,61.7,0,0
2018-06-25,2018U26,16929,58.25,0.03878014358,-0.05591572123
2018-06-26,2018U26,16929,58.25,0,0
2018-06-27,2018U26,16929,58.25,0,0
2018-06-28,2018U26,16929,58.25,0,0
2018-06-29,2018U26,16929,58.25,0,0
2018-06-30,2018U26,16929,58.25,0,0
2018-07-01,2018U26,16929,58.25,0,0
2018-07-02,2018U27,17914,58.55,0.05818418099,0.005150214592
2018-07-03,2018U27,17914,58.55,0,0
2018-07-04,2018U27,17914,58.55,0,0
2018-07-05,2018U27,17914,58.55,0,0
2018-07-06,2018U27,17914,58.55,0,0
2018-07-07,2018U27,17914,58.55,0,0
2018-07-08,2018U27,17914,58.55,0,0
2018-07-09,2018U28,17402,55.4,-0.0285809981,-0.05380017079
2018-07-10,2018U28,17402,55.4,0,0
2018-07-11,2018U28,17402,55.4,0,0
2018-07-12,2018U28,17402,55.4,0,0
