날짜,참돔_대,참돔_중,참돔_소,d참돔_대,d참돔_중,d참돔_소
2018-01-04,17115,15331,12730,0.07736371648,0.001698791245,0.1323607899
2018-01-05,16952,15549,12728,-0.009523809524,0.01421955515,-0.0001571091909
2018-01-06,16802,15521,12641,-0.00884851345,-0.001800758891,-0.006835323696
2018-01-08,17828,16646,14873,0.06106415903,0.07248244314,0.1765683095
2018-01-09,16410,14073,9566,-0.0795378057,-0.1545716689,-0.3568210852
2018-01-10,17749,13489,10000,0.08159658745,-0.04149790379,0.04536901526
2018-01-11,19310,18342,17215,0.08794861682,0.3597746312,0.7215
2018-01-12,21403,16198,11372,0.1083894355,-0.1168901974,-0.3394133024
2018-01-13,17518,14446,10916,-0.1815166098,-0.1081615014,-0.04009848751
2018-01-15,17568,13383,7326,0.002854207101,-0.07358438322,-0.3288750458
2018-01-16,17568,13383,7326,0.0,0.0,0.0
2018-01-17,19522,16539,11707,0.1112249545,0.2358215647,0.598007098
2018-01-18,19319,16756,10604,-0.01039852474,0.01312050305,-0.09421713505
2018-01-19,17579,14006,9298,-0.09006677364,-0.1641203151,-0.1231610713
2018-01-20,17925,15578,12139,0.0196825758,0.1122376125,0.3055495806
2018-01-22,17765,15846,11484,-0.008926080893,0.01720374888,-0.05395831617
2018-01-23,16776,14388,3980,-0.05567126372,-0.09201060204,-0.6534308603
2018-01-24,16150,14317,11680,-0.03731521221,-0.004934667779,1.934673367
2018-01-25,18435,17296,14835,0.1414860681,0.2080743172,0.270119863
2018-01-26,17240,14205,10602,-0.06482234879,-0.1787118409,-0.285338726
2018-01-27,18431,16238,12082,0.06908352668,0.1431186202,0.1395963026
2018-01-29,18328,13514,6805,-0.00558841083,-0.1677546496,-0.4367654362
2018-01-30,17048,14493,10472,-0.06983849847,0.07244339204,0.5388684791
2018-01-31,17341,13705,10804,0.01718676678,-0.05437107569,0.03170359053
2018-02-01,18793,15534,11555,0.08373219538,0.1334549435,0.06951129211
2018-02-02,16725,12448,7553,-0.1100409727,-0.1986610017,-0.3463435742
2018-02-03,18454,16084,10593,0.1033781764,0.2920951157,0.4024890772
2018-02-05,17389,15229,13314,-0.05771106535,-0.0531584183,0.2568677428
2018-02-06,16389,12247,8832,-0.05750761976,-0.1958106245,-0.3366381253
2018-02-07,19956,15947,8000,0.2176459821,0.3021148036,-0.09420289855
2018-02-08,19913,15334,11170,-0.002154740429,-0.03843983194,0.39625
2018-02-09,17356,15843,10299,-0.1284085773,0.03319420895,-0.07797672337
2018-02-10,17424,14385,10720,0.003917953445,-0.092028025,0.04087775512
2018-02-12,17205,14946,8191,-0.01256887052,0.03899895725,-0.2359141791
2018-02-13,16379,13674,6930,-0.04800929962,-0.08510638298,-0.1539494567
2018-02-14,18254,15294,7838,0.1144758532,0.1184730145,0.131024531
2018-02-15,17770,14002,6040,-0.0265147365,-0.0844775729,-0.2293952539
2018-02-19,18698,15437,7882,0.0522228475,0.1024853592,0.3049668874
2018-02-20,17575,16587,13879,-0.06005989945,0.07449633996,0.7608475006
2018-02-21,17047,15989,14766,-0.03004267425,-0.03605233014,0.06390950357
2018-02-22,18000,14796,9979,0.05590426468,-0.07461379699,-0.3241907084
2018-02-23,17894,15339,11355,-0.005888888889,0.03669910787,0.1378895681
2018-02-24,18539,15925,12798,0.03604560188,0.0382032727,0.1270805812
2018-02-26,17765,14120,7779,-0.04174982469,-0.1133437991,-0.3921706517
2018-02-27,16649,14514,11467,-0.06282015198,0.02790368272,0.4740969276
2018-02-28,17593,13408,8744,0.05670010211,-0.07620228745,-0.2374640272
2018-03-01,17008,14660,11534,-0.03325186154,0.09337708831,0.3190759378
2018-03-02,16981,15667,9897,-0.001587488241,0.06869031378,-0.1419282122
2018-03-03,17027,15447,8677,0.002708909958,-0.01404225442,-0.1232696777
2018-03-05,12733,10259,7687,-0.2521877019,-0.3358580954,-0.1140947332
2018-03-06,17091,15167,8396,0.3422602686,0.4784092017,0.09223364121
2018-03-07,16447,13873,9086,-0.03768065063,-0.08531680622,0.08218199142
2018-03-08,17063,13917,10231,0.03745363896,0.003171628343,0.1260180497
2018-03-09,17763,15947,9290,0.04102443884,0.1458647697,-0.09197536898
2018-03-10,17158,12803,8616,-0.03405956201,-0.1971530695,-0.07255113025
2018-03-12,16234,11163,4853,-0.05385243035,-0.1280949777,-0.4367455896
2018-03-13,16744,12260,8423,0.03141554762,0.09827107408,0.7356274469
2018-03-14,17361,13576,6872,0.03684902054,0.1073409462,-0.1841386679
2018-03-15,15566,10073,4169,-0.1033926617,-0.2580288745,-0.3933352736
2018-03-16,18348,13961,4391,0.1787228575,0.385982329,0.0532501799
2018-03-17,18322,13504,6007,-0.00141704818,-0.03273404484,0.3680255067
2018-03-19,17484,13840,9800,-0.04573736492,0.02488151659,0.6314299983
2018-03-20,16049,9872,4537,-0.08207504004,-0.2867052023,-0.5370408163
2018-03-21,17160,9407,5108,0.06922549692,-0.04710291734,0.1258540886
2018-03-22,19448,14837,6761,0.1333333333,0.5772297225,0.3236100235
2018-03-23,19215,16246,11467,-0.01198066639,0.09496528948,0.69605088
2018-03-24,17973,16200,10134,-0.06463700234,-0.002831466207,-0.1162466207
2018-03-26,18383,16505,14675,0.02281199577,0.01882716049,0.44809552
2018-03-27,16353,13678,10461,-0.1104281129,-0.1712814299,-0.2871550256
2018-03-28,18433,15857,13198,0.1271937871,0.1593069162,0.2616384667
2018-03-29,18778,17474,13913,0.01871643249,0.1019738917,0.05417487498
2018-03-30,18178,16285,11505,-0.03195228459,-0.06804395101,-0.1730755409
2018-03-31,18444,16580,13152,0.01463307295,0.0181148296,0.1431551499
2018-04-02,16574,14288,9572,-0.1013879853,-0.138238842,-0.2722019465
2018-04-03,16817,13510,10766,0.01466151804,-0.05445128779,0.1247388216
2018-04-04,17190,15904,14757,0.02217993697,0.1772020725,0.3707040684
2018-04-05,16947,14733,9621,-0.01413612565,-0.07362927565,-0.3480382192
2018-04-06,16449,12772,10256,-0.02938573199,-0.1331025589,0.06600145515
2018-04-07,17263,13910,9068,0.04948629096,0.08910115878,-0.1158346334
2018-04-09,16870,14045,8782,-0.02276545212,0.009705248023,-0.03153947949
2018-04-10,15674,9801,4661,-0.07089508002,-0.3021715913,-0.4692552949
2018-04-11,17227,13600,9016,0.0990812811,0.3876135088,0.9343488522
2018-04-12,18148,17356,15234,0.0534625878,0.2761764706,0.6896628217
2018-04-13,18221,17447,12144,0.004022481816,0.005243143581,-0.2028357621
2018-04-14,18170,16736,10208,-0.002798968223,-0.04075199175,-0.1594202899
2018-04-16,18316,13641,8262,0.008035222895,-0.1849306883,-0.1906347962
