지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22105,2025-01-01 00:00,,,,1018.8,53,8.4,15,3.7,1.8,1.2,6.3,23
22105,2025-01-01 01:00,,,,1018.7,51,8.2,15,3,1.6,1.2,6.1,15
22105,2025-01-01 02:00,,,,1018.8,49,8.1,14.9,2.8,1.8,1.2,6.1,25
22105,2025-01-01 03:00,,,,1019,44,8.2,15,2.4,1.6,1.1,5.6,26
22105,2025-01-01 04:00,,,,1018.7,60,8.7,15,2.4,1.5,1.1,5.2,26
22105,2025-01-01 05:00,,,,1018.6,61,7.6,14.9,2.8,1.7,1.2,5.1,29
22105,2025-01-01 06:00,,,,1019.3,71,7.4,14.9,2.8,1.8,1.3,4.9,333
22105,2025-01-01 07:00,,,,1019.6,77,7.7,14.9,3.1,2,1.4,5.1,341
22105,2025-01-01 08:00,,,,1019.9,77,7.5,14.9,3.1,2.2,1.4,5.3,338
22105,2025-01-01 09:00,,,,1020.1,78,7.4,14.9,2.8,2,1.4,5.1,352
22105,2025-01-01 10:00,,,,1020.3,83,7.7,15,3,1.9,1.4,5.1,1
22105,2025-01-01 11:00,,,,1020.3,74,7.8,15,2.7,2,1.4,5.2,345
22105,2025-01-01 12:00,,,,1020,78,8.1,14.9,3.2,2,1.4,5.3,351
22105,2025-01-01 13:00,,,,1019.5,72,8.2,14.9,3.2,2.1,1.5,5.6,348
22105,2025-01-01 14:00,,,,1018.6,70,9,14.9,3.1,1.9,1.3,5.3,355
22105,2025-01-01 15:00,,,,1018.5,64,9.5,14.8,2.3,1.6,1.1,5.1,343
22105,2025-01-01 16:00,,,,1018.5,65,10,14.7,2.4,1.6,1.1,5.1,355
22105,2025-01-01 17:00,,,,1018.7,63,10.3,14.7,2.3,1.5,1,5.1,344
22105,2025-01-01 18:00,,,,1019.2,61,10.5,14.5,2.2,1.4,1,4.8,343
22105,2025-01-01 19:00,,,,1019,52,11,14.4,2.1,1.4,1,4.7,354
22105,2025-01-01 20:00,,,,1019.6,54,10.7,14.4,2.1,1.4,1,4.6,344
22105,2025-01-01 21:00,,,,1019.9,57,10.5,14.3,2,1.3,.9,4.4,343
22105,2025-01-01 22:00,,,,1019.8,58,10.3,14.1,1.9,1.2,.8,4.3,336
22105,2025-01-01 23:00,,,,1020,63,10.4,14.1,1.6,1.2,.8,4.2,341
22105,2025-01-02 00:00,,,,1020.2,59,10.3,14.4,1.8,1.1,.8,4.1,355
22105,2025-01-02 01:00,,,,1020.2,66,10.3,14.7,1.7,1.1,.8,4,4
22105,2025-01-02 02:00,,,,1020.4,68,10.3,14.7,1.7,1.1,.8,4.1,1
22105,2025-01-02 03:00,,,,1021,61,10.1,14.7,1.6,1.2,.8,4.1,5
22105,2025-01-02 04:00,,,,1021,74,9.5,14.7,2,1.4,1,4.1,357
22105,2025-01-02 05:00,,,,1021.4,78,9.1,14.6,2.4,1.7,1.2,4.4,2
22105,2025-01-02 06:00,,,,1021.7,69,9,14.5,3.4,2,1.4,4.9,351
22105,2025-01-02 07:00,,,,1021.7,73,8.8,14.4,3,1.9,1.4,4.9,344
22105,2025-01-02 08:00,,,,1022.1,74,8.4,14.5,2.8,1.8,1.2,4.9,344
22105,2025-01-02 09:00,,,,1022.5,70,8.5,14.5,2.5,1.6,1.1,4.7,347
22105,2025-01-02 10:00,,,,1022.8,67,8.2,14.5,2,1.4,1,4.5,350
22105,2025-01-02 11:00,,,,1022.3,70,8.3,14.5,2.5,1.4,.9,4.5,352
22105,2025-01-02 12:00,,,,1022,71,8,14.5,1.8,1.3,.9,4.5,351
22105,2025-01-02 13:00,,,,1021.5,70,7.8,14.6,1.8,1.2,.8,4.5,358
22105,2025-01-02 14:00,,,,1021.1,66,7.5,14.6,2,1.2,.8,4.7,354
22105,2025-01-02 15:00,,,,1021.2,61,7.5,14.7,2,1.4,.9,5.3,12
22105,2025-01-02 16:00,,,,1021.1,62,8,14.8,2,1.4,.9,5.5,8
22105,2025-01-02 17:00,,,,1021.5,56,7.8,14.8,2.1,1.3,.9,5.3,12
22105,2025-01-02 18:00,,,,1021.8,57,7.9,14.7,1.8,1.3,.9,5.2,15
22105,2025-01-02 19:00,,,,1022.4,61,8.3,14.6,2.1,1.2,.9,5.2,21
22105,2025-01-02 20:00,,,,1022.2,63,8.4,14.4,2.2,1.3,.9,5.1,7
22105,2025-01-02 21:00,,,,1021.7,56,8.5,14.4,2,1.3,.9,5.3,22
22105,2025-01-02 22:00,,,,1021.4,56,8.2,14.4,1.9,1.4,.9,5.2,11
22105,2025-01-02 23:00,,,,1021.1,50,7.9,14.4,2.7,1.5,1.1,4.5,18
22105,2025-01-03 00:00,,,,1021.4,49,7.5,14.5,2.5,1.7,1.2,4.7,28
22105,2025-01-03 01:00,,,,1021.4,52,7,14.6,3.1,1.8,1.3,4.9,19
22105,2025-01-03 02:00,,,,1021.2,54,6.7,14.5,2.7,1.9,1.3,4.9,23
22105,2025-01-03 03:00,,,,1021.3,50,6.3,14.6,3.3,1.8,1.3,4.9,8
22105,2025-01-03 04:00,,,,1021.1,55,6,14.6,3,1.8,1.3,4.9,358
22105,2025-01-03 05:00,,,,1021.1,57,5.6,14.6,3.2,1.9,1.3,4.9,23
22105,2025-01-03 06:00,,,,1021.1,56,5.4,14.5,2.2,1.7,1.3,4.8,16
22105,2025-01-03 07:00,,,,1021.3,62,5.2,14.5,2.8,1.7,1.2,4.8,354
22105,2025-01-03 08:00,,,,1021.7,62,4.6,14.4,2.7,1.8,1.3,4.8,352
22105,2025-01-03 09:00,,,,1022.1,69,4.3,14.4,2.5,1.8,1.2,4.8,350
22105,2025-01-03 10:00,,,,1022.5,72,4.2,14.3,3.3,1.9,1.3,4.9,347
22105,2025-01-03 11:00,,,,1022.6,71,3.9,14.2,2.9,1.9,1.3,4.8,352
22105,2025-01-03 12:00,,,,1022.2,68,3.6,14.1,3.4,2.1,1.5,4.9,347
22105,2025-01-03 13:00,,,,1022.1,72,3.6,14,3.2,2.2,1.5,5.1,341
22105,2025-01-03 14:00,,,,1021.4,72,4,14.1,4.3,2.5,1.7,5.4,341
22105,2025-01-03 15:00,,,,1022,59,4.3,14.2,3.7,2.6,1.8,5.5,344
22105,2025-01-03 16:00,,,,1022.5,63,5,14.1,3.9,2.5,1.7,5.6,347
22105,2025-01-03 17:00,,,,1022.3,53,5.5,14.2,3.7,2.2,1.5,5.4,348
22105,2025-01-03 18:00,,,,1022.4,52,5.7,14.2,3.1,2.2,1.4,5.3,348
22105,2025-01-03 19:00,,,,1022.8,48,6.1,14.2,3.1,1.8,1.2,5.1,350
22105,2025-01-03 20:00,,,,1022.9,54,6,14.2,2.5,1.7,1.2,4.8,347
22105,2025-01-03 21:00,,,,1023.4,58,5.8,14.2,2.5,1.6,1.2,4.7,352
22105,2025-01-03 22:00,,,,1023.6,65,5.8,14.2,2.5,1.6,1.2,4.7,1
22105,2025-01-03 23:00,,,,1023.5,68,5.5,14.3,2.7,1.5,1,4.4,4
22105,2025-01-04 00:00,,,,1023.5,66,5.3,14.3,2.1,1.6,1,4.7,358
22105,2025-01-04 01:00,,,,1023.3,68,5.3,14.3,2.7,1.6,1.1,4.8,8
22105,2025-01-04 02:00,,,,1023.3,72,5,14.3,2,1.4,.9,4.7,1
22105,2025-01-04 03:00,,,,1023.9,73,5.2,14.3,2.4,1.4,1,4.7,358
22105,2025-01-04 04:00,,,,1023.7,75,5,14.3,2.4,1.4,1,4.9,18
22105,2025-01-04 05:00,,,,1023.5,75,5.1,14.3,1.9,1.3,.9,4.8,4
22105,2025-01-04 06:00,,,,1023.8,63,4.8,14.3,1.9,1.4,.9,4.9,9
22105,2025-01-04 07:00,,,,1024.1,62,4.6,14.1,2,1.4,.9,5,21
22105,2025-01-04 08:00,,,,1024.3,72,4.7,14.1,2.1,1.3,.9,5.2,12
22105,2025-01-04 09:00,,,,1024.5,73,4.7,14.2,2.3,1.4,.9,5.1,15
22105,2025-01-04 10:00,,,,1024.9,72,4.7,14.3,2.2,1.2,.8,5.1,19
22105,2025-01-04 11:00,,,,1024.8,72,4.8,14.3,1.9,1.2,.8,4.9,8
22105,2025-01-04 12:00,,,,1024.5,68,5.1,14.4,1.5,1.1,.8,4.5,21
22105,2025-01-04 13:00,,,,1024.1,70,5.1,14.4,1.7,1.1,.8,4.4,15
22105,2025-01-04 14:00,,,,1023.9,67,5.2,14.4,1.8,1,.7,4.3,8
22105,2025-01-04 15:00,,,,1024.2,61,5.3,14.4,1.7,1.1,.8,4.2,21
22105,2025-01-04 16:00,,,,1024.3,63,5.9,14.4,1.5,1.1,.7,4.2,15
22105,2025-01-04 17:00,,,,1024,49,6.8,14.4,1.6,1.1,.8,4.2,350
22105,2025-01-04 18:00,,,,1024.5,44,7,14.3,1.8,1.1,.8,4.2,2
22105,2025-01-04 19:00,,,,1024.7,51,7.3,14.3,1.6,1.1,.7,4.4,354
22105,2025-01-04 20:00,,,,1024.9,51,7.6,14.3,1.8,1,.7,4.6,11
22105,2025-01-04 21:00,,,,1025.1,47,7.6,14.3,1.4,1,.7,4.7,11
22105,2025-01-04 22:00,,,,1024.5,48,7.8,14.2,1.5,1,.7,4.7,15
22105,2025-01-04 23:00,,,,1024.4,49,7.7,14.1,1.5,1,.7,4.8,56
22105,2025-01-05 00:00,,,,1024,46,7.3,14.1,1.6,1,.7,4.5,8
22105,2025-01-05 01:00,,,,1023.2,49,7.1,14.2,1.4,.9,.7,4.5,49
22105,2025-01-05 02:00,,,,1022.8,53,7.1,14.3,1.6,1,.7,4.6,42
22105,2025-01-05 03:00,,,,1022.5,51,7,14.3,1.6,1,.7,4.5,18
22105,2025-01-05 04:00,,,,1022.6,55,7,14.3,1.5,1,.7,4.8,45
22105,2025-01-05 05:00,,,,1022.3,58,6.9,14.2,1.4,1,.7,4.5,30
22105,2025-01-05 06:00,,,,1022.3,61,6.9,14,1.4,1,.7,4.6,25
22105,2025-01-05 07:00,,,,1022.3,55,7.2,14,1.5,.9,.6,4.6,19
22105,2025-01-05 08:00,,,,1022.2,48,7.4,14,1.5,.9,.6,4.7,14
