priceDate,minPrice,avgPrice,maxPrice,item,market
2015-03-06,30000,30000,30000,광어,노량진
2015-03-14,30000,30000,30000,광어,노량진
2015-04-18,28000,29330,30000,광어,노량진
2015-04-28,30000,30000,30000,광어,노량진
2015-06-02,30000,30000,30000,광어,노량진
2015-06-09,30000,30000,30000,광어,노량진
2015-06-11,30000,30000,30000,광어,노량진
2015-06-12,30000,30000,30000,광어,노량진
2015-06-13,30000,30000,30000,광어,노량진
2015-06-17,30000,30000,30000,광어,노량진
2015-06-18,30000,30000,30000,광어,노량진
2015-06-20,30000,30000,30000,광어,노량진
2015-06-27,30000,30000,30000,광어,노량진
2015-07-10,30000,30000,30000,광어,노량진
2015-07-15,30000,30000,30000,광어,노량진
2015-07-16,30000,30000,30000,광어,노량진
2015-07-17,30000,30000,30000,광어,노량진
2015-07-18,30000,30000,30000,광어,노량진
2015-07-20,30000,30000,30000,광어,노량진
2015-07-21,30000,30000,30000,광어,노량진
2015-07-22,30000,30000,30000,광어,노량진
2015-07-23,28000,28000,28000,광어,노량진
2015-07-24,28000,28000,28000,광어,노량진
2015-07-25,28000,28000,28000,광어,노량진
2015-07-27,28000,28000,28000,광어,노량진
2015-07-28,28000,28000,28000,광어,노량진
2015-07-30,28000,28000,28000,광어,노량진
2015-08-01,28000,28000,28000,광어,노량진
2015-08-08,35000,35000,35000,광어,노량진
2015-08-11,35000,35000,35000,광어,노량진
2015-08-14,35000,35000,35000,광어,노량진
2015-08-20,35000,35000,35000,광어,노량진
2015-08-22,35000,35000,35000,광어,노량진
2015-08-25,28000,31500,35000,광어,노량진
2015-08-26,28000,31500,35000,광어,노량진
2015-08-27,28000,31500,35000,광어,노량진
2015-08-28,28000,31500,35000,광어,노량진
2015-08-29,28000,31500,35000,광어,노량진
2015-08-31,28000,31500,35000,광어,노량진
2015-09-01,28000,31500,35000,광어,노량진
2015-09-02,28000,31500,35000,광어,노량진
2015-09-03,28000,31500,35000,광어,노량진
2015-09-04,28000,31500,35000,광어,노량진
2015-09-05,28000,31500,35000,광어,노량진
2015-09-07,28000,31500,35000,광어,노량진
2015-09-09,35000,35000,35000,광어,노량진
2015-09-10,28000,31500,35000,광어,노량진
2015-09-11,35000,35000,35000,광어,노량진
2015-09-12,28000,31500,35000,광어,노량진
2015-09-14,28000,28000,28000,광어,노량진
2015-09-16,28000,28000,28000,광어,노량진
2015-09-17,28000,28000,28000,광어,노량진
2015-09-18,28000,31500,35000,광어,노량진
2015-09-19,28000,31500,35000,광어,노량진
2015-09-22,35000,35000,35000,광어,노량진
2015-09-23,28000,31500,35000,광어,노량진
2015-09-24,28000,31500,35000,광어,노량진
2015-09-25,28000,31500,35000,광어,노량진
2015-09-30,28000,31500,35000,광어,노량진
2015-10-01,35000,35000,35000,광어,노량진
2015-10-02,28000,31500,35000,광어,노량진
2015-10-03,28000,31500,35000,광어,노량진
2015-10-05,28000,31500,35000,광어,노량진
2015-10-06,28000,28000,28000,광어,노량진
2015-10-07,35000,35000,35000,광어,노량진
2015-10-08,28000,28000,28000,광어,노량진
2015-10-09,28000,31500,35000,광어,노량진
2015-10-10,28000,28000,28000,광어,노량진
2015-10-13,28000,28000,28000,광어,노량진
2015-10-14,28000,31500,35000,광어,노량진
2015-10-17,35000,35000,35000,광어,노량진
2015-10-20,28000,28000,28000,광어,노량진
2015-10-21,35000,35000,35000,광어,노량진
2015-10-22,28000,28000,28000,광어,노량진
2015-10-24,28000,31500,35000,광어,노량진
2015-10-27,28000,31500,35000,광어,노량진
2015-10-28,28000,31500,35000,광어,노량진
2015-10-29,28000,28000,28000,광어,노량진
2015-10-30,28000,31500,35000,광어,노량진
2015-10-31,28000,31500,35000,광어,노량진
2015-11-02,35000,35000,35000,광어,노량진
2015-11-03,28000,31500,35000,광어,노량진
2015-11-04,35000,35000,35000,광어,노량진
2015-11-05,28000,31500,35000,광어,노량진
2015-11-06,28000,31500,35000,광어,노량진
2015-11-07,28000,31500,35000,광어,노량진
2015-11-09,35000,35000,35000,광어,노량진
2015-11-10,28000,28000,28000,광어,노량진
2015-11-11,28000,31500,35000,광어,노량진
2015-11-13,28000,28000,28000,광어,노량진
2015-11-14,28000,31500,35000,광어,노량진
2015-11-18,28000,31500,35000,광어,노량진
2015-11-19,28000,28000,28000,광어,노량진
2015-11-20,28000,31500,35000,광어,노량진
2015-11-21,28000,31500,35000,광어,노량진
2015-11-23,28000,31500,35000,광어,노량진
2015-11-24,28000,28000,28000,광어,노량진
2015-11-25,35000,35000,35000,광어,노량진
2015-11-26,28000,31500,35000,광어,노량진
2015-11-27,28000,31500,35000,광어,노량진
2015-11-28,28000,31500,35000,광어,노량진
