s_query,market,store,store_id,comments,like,rating
노량진,노량진 1층,군산상회,0000000833,979,1688,4.9
노량진,노량진 1층,중앙꽃게,0000000005,2962,2726,4.7
노량진,노량진 2층,제주회수산,0000000822,1060,1907,4.9
노량진,노량진 1층,청양수산,0000000013,5329,7007,4.9
노량진,노량진 1층,영신수산,0000000006,3696,3773,4.8
노량진,노량진 1층,진도진진수산,0000001159,281,1130,4.9
노량진,노량진 1층,일성수산,0000000204,6422,6810,4.8
노량진,노량진 1층,대일수산,0000000835,1468,2017,4.9
노량진,노량진 1층,서울수산,0000000821,707,1694,4.9
노량진,노량진 1층,전라상회,0000000004,6522,10037,4.8
노량진,노량진 1층,부부전복,0000000007,6422,5842,4.8
노량진,노량진 1층,신남도수산,0000000846,2417,3429,4.9
노량진,노량진 1층,대원,0000000710,1509,1933,4.7
노량진,노량진 1층,대부도,0000000826,3003,4405,5.0
노량진,노량진 2층,정읍수산,0000000335,1515,2908,4.8
노량진,노량진 1층,부안꽃게,0000000813,2642,4273,5.0
노량진,노량진 2층,푸른바다,0000000823,1170,2093,4.9
노량진,노량진 1층,손선장,0000001314,6733,9393,4.9
노량진,노량진 1층,충남미림,0000000834,1562,2480,4.8
노량진,노량진 1층,대원수산,0000000421,1574,2570,4.9
노량진,노량진 1층,강변상회,0000001155,589,1484,4.9
노량진,노량진 1층,독도수산,0000000711,3216,3622,4.9
노량진,노량진 2층,신안상회,0000000840,917,1644,4.9
노량진,노량진 1층,당진수산,0000000011,5594,6196,4.7
노량진,노량진 1층,서산안면도,0000000295,4999,5000,4.9
노량진,노량진 2층,광주무등산,0000000010,1824,2267,4.6
노량진,노량진 1층,부안수산,0000000014,3376,4267,4.8
노량진,노량진 1층,신안군향우회,0000000830,5088,6391,4.9
노량진,노량진 1층,독도초밥,0000001436,85,80,5.0
노량진,노량진 1층,땅끝마을,0000000849,1369,2684,4.9
노량진,노량진 1층,부산자갈치,0000000016,2011,3807,4.9
노량진,노량진 1층,공주상회,0000000831,1234,2616,4.9
노량진,노량진 1층,의리수산,0000001164,1507,1428,5.0
노량진,노량진 2층,부천상회(정읍수산),0000001435,65,390,4.8
노량진,노량진 2층,부건꽃게,0000000008,808,659,4.0
노량진,노량진 1층,장군문어,0000000250,94,169,4.8
노량진,노량진 1층,전북상회,0000000855,297,605,4.8
노량진,노량진 1층,충청수산,0000001145,310,618,4.9
노량진,노량진 1층,목포항,0000000832,623,714,4.7
노량진,노량진 2층,여수오동도,0000000838,198,456,4.6
노량진,노량진 1층,월드수산,0000001139,256,269,5.0
노량진,노량진 1층,목포상회,0000000012,1110,1970,4.4
노량진,노량진 2층,해운대식당,0000000242,677,847,3.9
노량진,노량진 1층,세아수산,0000001158,236,370,4.8
노량진,노량진 1층,주문진,0000001163,609,856,5.0
노량진,노량진 2층,모자상회,0000001148,618,723,4.9
노량진,노량진 2층,강남상회,0000001386,170,246,4.8
노량진,노량진 1층,전남고흥횟집,0000001389,5,13,4.0
노량진,노량진 2층,호남꽃게,0000001150,92,132,4.3
노량진,노량진 1층,태평양수산,0000000848,213,377,4.8
노량진,노량진 1층,호랑이수산,0000001147,208,575,4.8
노량진,노량진 2층,홍도상회,0000000836,711,632,4.6
노량진,노량진 2층,대한상회,0000001388,20,121,5.0
노량진,노량진 1층,순천만상회,0000001385,184,395,4.8
노량진,노량진 2층,국제수산,0000000829,227,538,4.9
노량진,노량진 1층,전라도수산,0000001078,147,93,4.7
노량진,노량진 2층,노들수산,0000001156,128,445,4.8
노량진,노량진 1층,신안군횟집,0000001220,140,226,4.8
노량진,노량진 1층,희망수산,0000001409,117,515,5.0
노량진,노량진 2층,남송꽃게,0000000003,2010,2247,4.7
노량진,노량진 1층,로또수산,0000001149,320,270,5.0
노량진,노량진 1층,정읍상회,0000000238,185,201,4.8
노량진,노량진 1층,동서남북수산,0000001227,2,20,5.0
노량진,노량진 1층,영광해물,0000000017,284,494,4.4
노량진,노량진 1층,해태광주,0000001143,150,330,4.8
노량진,노량진 2층,대원상회,0000000411,43,92,5.0
노량진,노량진 1층,경상수산,0000000241,26,40,5.0
노량진,노량진 1층,영동수산,0000001152,482,555,4.9
가락,가락시장,즐거운수산,0000000889,1044,2986,4.9
가락,가락시장,강진수산,0000000028,811,2746,4.8
가락,가락시장,명가수산,0000000020,3050,4388,4.7
가락,가락시장,온달수산,0000000009,6033,7209,4.6
가락,가락시장,호남수산,0000001218,625,1682,4.8
가락,가락시장,청해수산,0000000194,4204,5256,4.7
가락,가락시장,용기수산,0000000024,984,2123,4.6
가락,가락시장,일월수산,0000000021,3446,4824,4.7
가락,가락시장,영흥수산,0000001240,208,1446,4.8
가락,가락시장,바다나라,0000000195,2777,4111,4.7
가락,가락시장,청정수산,0000000268,2154,3491,4.9
가락,가락시장,광양수산,0000001217,2372,4482,4.9
가락,가락시장,놀부수산,0000000253,1749,2176,4.4
가락,가락시장,대우수산,0000001383,195,516,4.9
가락,가락시장,필립수산,0000000019,535,965,4.6
가락,가락시장,싱싱해수산,0000000200,6508,8582,4.7
가락,가락시장,생낙수산,0000000328,162,546,4.9
가락,가락시장,여수나라,0000000297,952,1286,4.8
가락,가락시장,다해수산,0000000803,1176,627,4.6
가락,가락시장,올레마당,0000000423,384,209,4.7
가락,가락시장,정육백화점,0000000239,548,264,4.6
가락,가락시장,신진시푸드,0000000029,172,153,4.7
가락,가락시장,경기축산,0000000206,627,339,4.4
가락,가락시장,대풍수산,0000001049,1017,810,5.0
가락,가락시장,보물섬,0000001058,1106,1421,4.8
가락,가락시장,영재수산,0000000399,428,278,4.2
가락,가락시장,진도수산,0000001056,28,32,4.3
가락,가락시장,금성횟집,0000000079,583,722,4.0
가락,가락시장,대오수산,0000001268,31,45,4.5
가락,가락시장,우정돌산,0000001411,86,59,5.0
가락,가락시장,태경수산,0000000207,38,50,4.9
가락,가락시장,억불상사,0000000463,3,20,5.0
가락,가락시장,군산상회,0000000251,22,50,5.0
가락,가락시장,밀알유통,0000001293,1,9,5.0
가락,가락시장,참광천수산,0000000417,62,87,5.0
강서,강서농수산물시장,땡글이수산,0000001278,684,547,4.9
강서,강서농수산물시장,영준수산,0000001410,164,197,4.9
강서,강서농수산물시장,강화수산,0000001279,3220,1652,4.9
강서,강서농수산물시장,완도횟집,0000000410,3985,3522,4.9
강서,강서농수산물시장,가포수산,0000000860,840,735,4.6
강서,강서농수산물시장,대박수산,0000000305,1898,1578,4.7
강서,강서농수산물시장,대풍수산,0000001022,1218,786,4.9
강서,강서농수산물시장,흥한수산 ,0000000112,1478,1781,4.9
강서,강서농수산물시장,고흥수산,0000000257,1842,1751,4.7
강서,강서농수산물시장,항구수산,0000000861,704,552,4.8
강서,강서농수산물시장,대호수산,0000001021,1,14,5.0
강서,강서농수산물시장,자매횟집,0000000386,199,298,4.6
강서,강서농수산물시장,부길축산,0000000866,23,19,4.0
마포,마포농수산물시장,영풍수산,0000000083,1454,961,4.9
마포,마포농수산물시장,연안수산,0000000678,1395,1279,4.9
마포,마포농수산물시장,고흥수산,0000000702,737,667,4.9
마포,마포농수산물시장,정주수산(정읍수산),0000000082,1392,1630,4.9
마포,마포농수산물시장,풍어수산(부산첫집),0000000157,1086,824,4.9
영등포,영등포,청양수산 해적창고 영등포점,0000001398,114,985,4.7
마장,마장축산물시장,석신한우,0000000030,1299,715,4.7
마장,마장축산물시장,화신축산,0000000031,105,74,4.4
마장,마장축산물시장,대호축산,0000000629,32,21,4.7
마장,마장축산물시장,영창한우,0000000621,344,126,4.8
마장,마장축산물시장,영양한우,0000000620,33,23,4.3
마장,마장축산물시장,호수축산 ,0000001288,66,44,4.8
마장,마장축산물시장,명가우리한우,0000000592,66,74,5.0
마장,마장축산물시장,대찬한우,0000000626,34,27,4.2
구리,구리농수산물시장,해변마을,0000001235,1928,1850,4.9
구리,구리농수산물시장,또또와수산,0000000617,4674,2673,4.8
구리,구리농수산물시장,진로수산,0000001286,1969,1232,4.9
구리,구리농수산물시장,풍양수산,0000000036,6106,4140,4.8
구리,구리농수산물시장,관보수산,0000000045,1817,1295,4.6
구리,구리농수산물시장,독도수산,0000001281,233,441,4.8
구리,구리농수산물시장,행복수산,0000001226,5650,3869,4.9
구리,구리농수산물시장,원수산,0000001397,1018,1574,4.9
구리,구리농수산물시장,바다수산,0000001440,65,95,5.0
구리,남양주,인어교주해적섬,0000001275,430,1424,4.6
구리,구리농수산물시장,대박수산,0000001077,625,216,4.8
구리,구리농수산물시장,새샘수산,0000000197,1122,785,4.5
구리,구리농수산물시장,구리수산시장,0000000863,769,854,4.8
구리,구리농수산물시장,현우수산,0000000188,2515,1915,4.7
구리,구리농수산물시장,남강수산,0000001400,207,223,4.9
구리,고성대진항수산시장,머구리집,0000001300,0,3,0.0
수원,수원농수산물시장,영남수산,0000001102,1892,987,4.9
수원,수원농수산물시장,대우수산,0000001013,2324,1173,4.8
수원,수원농수산물시장,태광물산,0000000681,880,520,4.5
수원,수원농수산물시장,오양수산,0000001401,41,89,4.8
수원,수원농수산물시장,대명수산,0000001039,918,544,4.8
수원,수원농수산물시장,창대수산,0000000812,1013,1004,4.7
수원,수원농수산물시장,정훈수산,0000001221,739,1482,5.0
수원,수원농수산물시장,삼원유통,0000001216,271,355,4.8
수원,수원농수산물시장,부부수산,0000000042,2947,1344,4.9
수원,수원농수산물시장,믿음수산,0000001290,329,418,4.8
수원,수원농수산물시장,해양수산,0000001239,12,12,5.0
평촌,안양평촌농수산물시장,대일수산,0000001048,1078,562,4.8
평촌,안양평촌농수산물시장,삼우수산,0000001273,1396,923,5.0
평촌,안양평촌농수산물시장,명덕수산,0000001131,855,526,4.7
평촌,안양평촌농수산물시장,신안수산,0000000645,1213,1083,4.8
평촌,안양평촌농수산물시장,목포수산,0000000182,817,1250,4.8
평촌,안양평촌농수산물시장,명신수산,0000001205,929,853,5.0
평촌,안양평촌농수산물시장,바이킹수산,0000001376,369,210,5.0
평촌,안양평촌농수산물시장,꽃게바다,0000001284,188,112,4.7
평촌,안양평촌농수산물시장,대영수산,0000001393,89,152,4.6
평촌,안양평촌농수산물시장,전남수산,0000001406,83,137,4.8
평촌,안양평촌농수산물시장,싱싱수산,0000001358,818,517,4.9
경기,시흥오이도전통수산시장,목포수산,0000000187,297,242,4.7
경기,하남수산물복합단지,진산수산,0000000291,460,303,4.6
경기,화성궁평항수산물직판장,효선네,0000000691,53,24,4.8
경기,화성사강수산시장,우성수산,0000000517,18,24,5.0
경기,전곡항수산물센터,거시기수산,0000000688,7,0,3.5
경기,전곡항수산물센터,유한호횟집,0000000687,15,13,5.0
경기,수원농수산물시장,오양수산,0000001401,41,89,4.8
경기,화성궁평항수산물직판장,순길호,0000000899,154,62,4.5
경기,안산농수산물회센터,독도수산,0000001280,889,400,4.9
경기,화성궁평항수산물직판장,광복호,0000000514,441,136,4.9
경기,하남수산물복합단지,재림수산,0000001035,229,163,4.3
경기,가락시장,경기축산,0000000206,627,339,4.4
경기,안산대부도오션시티종합어시장,바다수산,0000000852,84,40,4.5
경기,시흥오이도전통수산시장,제일수산,0000001414,11,38,4.5
경기,안산대부도오션시티종합어시장,정은수산,0000000562,91,38,4.6
경기,시흥오이도전통수산시장,목포항,0000001412,42,56,4.9
경기,시흥오이도전통수산시장,당진갈매기,0000001413,12,25,4.8
경기,평택서정리어민직판장,바다회 1번지,0000001214,5,20,5.0
경기,안산농수산물회센터,신창수산,0000001380,34,42,4.3
경기,안산농수산물회센터,삼원수산,0000001415,30,52,5.0
경기,화성궁평항수산물직판장,서해수산,0000001375,17,55,5.0
경기,하남유통산업단지,동해수산,0000001367,102,232,4.9
경기,시흥오이도난전시장,등대호,0000000632,14,21,3.5
경기,시흥오이도난전시장,명성호,0000000640,32,44,5.0
경기,안산농수산물회센터,해양민물수산,0000000909,11,24,5.0
경기,오산오색시장,시장수산,0000001212,15,18,4.7
경기,안산농수산물회센터,세양수산,0000001430,50,23,4.6
경기,시흥오이도종합어시장,만리포수산,0000000649,96,74,4.7
경기,시흥오이도종합어시장,어망수산,0000001229,21,37,4.7
소래포구,소래포구종합어시장,지원이네,0000000310,6775,4507,4.9
소래포구,소래포구종합어시장,레인보우수산,0000000516,2187,1358,4.9
소래포구,소래포구종합어시장,해심수산,0000001025,2813,1753,4.9
소래포구,소래포구종합어시장,서천수산,0000001405,224,261,4.9
소래포구,소래포구전통어시장,태산호,0000001434,28,43,4.2
소래포구,소래포구종합어시장,천지수산,0000001023,89,31,4.8
소래포구,소래포구종합어시장,지원이네2호점,0000001033,612,413,4.9
소래포구,소래포구종합어시장,부부젓갈,0000000630,29,28,5.0
소래포구,소래포구종합어시장,나라수산,0000001026,53,49,4.0
소래포구,소래포구종합어시장,해남수산,0000001165,202,185,4.7
소래포구,소래포구전통어시장,왼손수산,0000001228,223,107,4.9
