날짜,산지가격(특란30개),산지가격(특란10개),도매가격(특란10개),소비자가격(특란30개)
2025-01-08,"4,907","1,636","1,768",
2025-01-07,"4,905","1,635","1,755","6,809"
2025-01-06,"4,840","1,613","1,715","6,776"
2025-01-03,"4,876","1,625","1,712","6,203"
2025-01-02,"4,791","1,597","1,752","6,301"
2024-12-31,"4,797","1,599","1,719","6,805"
2024-12-30,"4,807","1,602","1,726","6,814"
2024-12-27,"4,832","1,611","1,744","6,814"
2024-12-26,"4,813","1,604","1,789","6,738"
2024-12-24,"4,812","1,604","1,743","6,992"
2024-12-23,"4,843","1,614","1,727","6,997"
2024-12-20,"4,842","1,614","1,746","6,994"
2024-12-19,"4,814","1,605","1,724","6,729"
2024-12-18,"4,853","1,618","1,729","6,970"
2024-12-17,"4,818","1,606","1,727","6,980"
2024-12-16,"4,864","1,621","1,763","6,955"
2024-12-13,"4,886","1,629","1,772","6,941"
2024-12-12,"4,879","1,626","1,767","6,969"
2024-12-11,"4,861","1,620","1,735","7,050"
2024-12-10,"4,887","1,629","1,740","7,060"
2024-12-09,"4,924","1,641","1,747","7,060"
2024-12-06,"4,913","1,638","1,752","7,078"
2024-12-05,"4,923","1,641","1,769","6,885"
2024-12-04,"4,944","1,648","1,783","6,935"
2024-12-03,"4,970","1,657","1,775","6,938"
2024-12-02,"4,970","1,657","1,775","6,954"
2024-11-29,"4,970","1,657","1,779","6,961"
2024-11-28,"4,967","1,656","1,770","6,926"
2024-11-27,"4,967","1,656","1,782","6,833"
2024-11-26,"4,998","1,666","1,779","6,852"
2024-11-25,"4,991","1,664","1,783","6,852"
2024-11-22,"4,972","1,657","1,790","6,764"
2024-11-21,"4,966","1,655","1,792","6,721"
2024-11-20,"4,964","1,655","1,795","6,253"
2024-11-19,"4,965","1,655","1,759","6,285"
2024-11-18,"4,962","1,654","1,802","6,322"
2024-11-15,"4,972","1,657","1,746","6,286"
2024-11-14,"4,971","1,657","1,781","6,845"
2024-11-13,"4,961","1,654","1,773","6,848"
