날짜,산지경매가격_암송아지(6~7개월)(천원/마리),산지경매가격_숫송아지(6~7개월)(천원/마리),산지경매가격_농가수취가격(600kg)(천원/마리),도매가격_평균지육가격(한우)(원/kg),도매가격_1등급지육가격(한우)(원/kg),도매가격_한우등심1등급(원/kg),소비자가격_한우등심1등급(원/kg)
2025-01- 07,"2,486","3,589","6,660","18,592","17,110","57,469","95,080"
2025-01- 06,"2,486","3,589","6,351","17,730","16,859","56,106","94,800"
2025-01- 03,"2,474","3,578","6,251","17,450","16,776","59,286","94,690"
2025-01- 02,"2,453","3,542","6,430","17,952","16,710","59,069","95,120"
2025-01- 01,"2,453","3,542","6,507","18,166","16,633","58,975","95,960"
2024-12- 31,"2,442","3,542","6,417","17,915","16,700","56,229","95,800"
2024-12- 30,"2,427","3,531","6,109","17,054","16,370","56,808","95,670"
2024-12- 27,"2,411","3,578","6,166","17,215","16,284","56,086","101,320"
2024-12- 26,"2,411","3,578","6,346","17,717","16,393","55,341","93,140"
2024-12- 25,"2,426","3,583","6,151","17,172","15,891","55,717","86,770"
2024-12- 24,"2,424","3,589","6,460","18,034","16,489","55,717","86,590"
2024-12- 23,"2,428","3,605","5,631","15,719","16,006","53,255","86,600"
2024-12- 20,"2,432","3,604","6,109","17,056","16,159","53,840","87,330"
2024-12- 19,"2,468","3,635","6,377","17,803","16,503","55,263","99,930"
2024-12- 18,"2,472","3,657","6,525","18,217","16,693","56,824","99,890"
2024-12- 17,"2,484","3,663","6,486","18,108","16,558","51,518","99,320"
2024-12- 16,"2,469","3,646","5,403","15,083","15,742","55,609","95,790"
2024-12- 13,"2,460","3,679","6,117","17,078","16,227","53,348","97,040"
2024-12- 12,"2,445","3,637","6,404","17,877","16,643","57,504","100,250"
2024-12- 11,"2,429","3,626","6,541","18,262","16,854","52,757","85,580"
2024-12- 10,"2,407","3,643","6,558","18,309","16,902","52,692","85,610"
2024-12- 09,"2,425","3,660","5,362","14,969","16,565","56,807","85,740"
2024-12- 06,"2,442","3,697","6,297","17,579","16,899","56,807","84,490"
2024-12- 05,"2,418","3,686","6,495","18,131","17,031","57,114","88,420"
2024-12- 04,"2,414","3,698","6,498","18,141","16,854","55,550","89,040"
2024-12- 03,"2,435","3,731","6,436","17,969","16,699","57,081","88,760"
2024-12- 02,"2,431","3,717","5,503","15,362","15,632","58,165","88,860"
2024-11- 29,"2,450","3,724","6,207","17,329","16,622","58,165","88,140"
2024-11- 28,"2,450","3,724","6,284","17,542","16,708","56,605","99,320"
2024-11- 27,"2,489","3,733","6,329","17,670","16,742","58,658","94,810"
2024-11- 26,"2,489","3,753","6,327","17,663","16,672","56,063","94,870"
2024-11- 25,"2,499","3,738","5,095","14,225","15,995","59,186","94,880"
2024-11- 22,"2,584","3,724","6,195","17,296","16,400","59,186","94,670"
2024-11- 21,"2,583","3,729","6,369","17,780","16,796","55,751","97,510"
2024-11- 20,"2,571","3,738","6,421","17,925","16,757","55,690","97,420"
2024-11- 19,"2,587","3,754","6,297","17,579","16,560","57,423","97,230"
2024-11- 18,"2,582","3,750","5,034","14,054","15,538","57,497","97,490"
2024-11- 15,"2,610","3,740","6,184","17,263","16,554","58,551","97,520"
2024-11- 14,"2,620","3,708","6,266","17,494","16,519","59,589","99,510"
2024-11- 13,"2,642","3,721","6,238","17,414","16,349","55,778","97,860"
2024-11- 12,"2,706","3,698","6,225","17,379","16,362","58,984","97,800"
2024-11- 11,"2,505","3,686","4,762","13,293","15,127","58,759","97,690"
2024-11- 08,"2,515","3,707","6,053","16,897","16,403","58,759","97,150"
2024-11- 07,"2,441","3,651","6,159","17,195","16,520","61,371","96,760"
2024-11- 06,"2,441","3,651","6,424","17,935","16,361","60,005","82,010"
2024-11- 05,"2,446","3,671","6,222","17,371","16,243","60,014","82,100"
2024-11- 04,"2,474","3,548","4,070","11,361","14,774","61,575","82,050"
2024-11- 01,"2,495","3,564","5,916","16,516","16,346","61,575","82,230"
2024-10- 31,"2,548","3,582","6,109","17,056","16,263","59,003","90,180"
2024-10- 30,"2,534","3,590","6,107","17,049","16,102","60,124","95,280"
2024-10- 29,"2,546","3,641","6,137","17,132","16,160","62,222","96,310"
2024-10- 28,"2,532","3,681","5,118","14,288","14,367","61,016","93,640"
2024-10- 25,"2,496","3,702","5,938","16,578","16,533","61,016","94,710"
2024-10- 24,"2,489","3,684","6,104","17,041","16,348","61,736","99,880"
2024-10- 23,"2,485","3,693","6,228","17,388","16,451","64,910","99,180"
2024-10- 22,"2,491","3,730","6,289","17,557","16,465","60,577","99,050"
2024-10- 21,"2,510","3,729","5,380","15,020","15,235","64,655","98,920"
2024-10- 18,"2,547","3,758","6,198","17,302","16,653","64,655","98,060"
2024-10- 17,"2,540","3,781","6,250","17,448","16,540","60,066","98,200"
2024-10- 16,"2,567","3,799","6,309","17,614","16,476","65,096","97,130"
2024-10- 15,"2,564","3,827","6,381","17,813","16,459","62,667","98,700"
2024-10- 14,"2,559","3,825","5,367","14,984","15,688","59,004","99,300"
