날짜,대,중,소
2018/1/3,21029.0,13823.0,3281.0
2018/1/4,20694.0,13933.0,10459.0
2018/1/5,22167.0,20336.0,16440.0
2018/1/6,20288.0,19350.0,16123.0
2018/1/8,21841.0,21460.0,19800.0
2018/1/9,20590.0,16115.0,12970.0
2018/1/10,15111.0,12360.0,11070.0
2018/1/11,20189.0,17376.0,12038.0
2018/1/12,21321.0,21000.0,20750.0
2018/1/13,20034.0,16360.0,12825.0
2018/1/15,21600.0,18208.0,12000.0
2018/1/16,21153.0,16733.0,11383.0
2018/1/17,19500.0,17737.0,16125.0
2018/1/18,20703.0,20306.0,15190.0
2018/1/19,20176.0,15367.0,12242.0
2018/1/20,20104.0,15926.0,14836.0
2018/1/22,21205.0,20230.0,14726.0
2018/1/23,18540.0,10739.0,3227.0
2018/1/24,20687.0,20192.0,19876.0
2018/1/25,18751.0,15609.0,14350.0
2018/1/26,21355.0,16715.0,13182.0
2018/1/27,17756.0,15402.0,13966.0
2018/1/29,19849.0,17469.0,13519.0
2018/1/30,18823.0,13842.0,11067.0
2018/1/31,19000.0,16162.0,15500.0
2018/2/1,17984.0,15500.0,15500.0
2018/2/2,21536.0,19337.0,15621.0
2018/2/3,21011.0,18750.0,15187.0
2018/2/5,19000.0,17333.0,15500.0
2018/2/6,21382.0,19734.0,15375.0
2018/2/7,21000.0,19880.0,19000.0
2018/2/8,16032.0,14517.0,13245.0
2018/2/9,21016.0,19747.0,15303.0
2018/2/10,19582.0,15440.0,10431.0
2018/2/12,18213.0,12984.0,10685.0
2018/2/13,20115.0,17833.0,13769.0
2018/2/14,21000.0,17305.0,11819.0
2018/2/15,19500.0,18090.0,15259.0
2018/2/20,20978.0,18674.0,14913.0
2018/2/21,20365.0,19005.0,17320.0
2018/2/22,18469.0,11782.0,10854.0
2018/2/23,20909.0,18898.0,15508.0
2018/2/24,20906.0,18271.0,15500.0
2018/2/26,19000.0,17170.0,15500.0
2018/2/27,21500.0,19678.0,15500.0
2018/2/28,20000.0,19031.0,15627.0
2018/3/1,13048.0,11685.0,9594.0
2018/3/2,20264.0,18841.0,15500.0
2018/3/3,19000.0,16234.0,15000.0
2018/3/5,20000.0,17473.0,15000.0
2018/3/6,20000.0,16865.0,15000.0
2018/3/7,20000.0,18569.0,15000.0
2018/3/8,20500.0,19304.0,15000.0
2018/3/9,22500.0,20749.0,19796.0
2018/3/10,22061.0,17826.0,16483.0
2018/3/12,23425.0,23041.0,22327.0
2018/3/13,21940.0,18389.0,15542.0
2018/3/14,18742.0,15007.0,14000.0
2018/3/16,22812.0,21872.0,17510.0
2018/3/17,19718.0,17774.0,16500.0
2018/3/19,21420.0,14883.0,10904.0
2018/3/20,21186.0,14017.0,10761.0
2018/3/22,22000.0,18746.0,15818.0
2018/3/23,19967.0,19369.0,16500.0
2018/3/24,21859.0,18838.0,16500.0
2018/3/26,21959.0,17565.0,11174.0
2018/3/27,20919.0,16881.0,16260.0
2018/3/28,19925.0,18229.0,16500.0
2018/3/29,19879.0,17500.0,16500.0
2018/3/30,23000.0,19934.0,14016.0
2018/3/31,18779.0,15619.0,13203.0
2018/4/2,23500.0,22378.0,20167.0
2018/4/3,20333.0,18600.0,16500.0
2018/4/4,19500.0,17638.0,16500.0
2018/4/5,22598.0,19872.0,12288.0
2018/4/6,21111.0,16889.0,12783.0
2018/4/7,20199.0,17036.0,13973.0
2018/4/9,20193.0,16545.0,6219.0
2018/4/10,19871.0,16500.0,16019.0
2018/4/11,20450.0,17950.0,15361.0
2018/4/12,21000.0,18851.0,15556.0
2018/4/13,20167.0,17127.0,14942.0
2018/4/14,20139.0,17402.0,15047.0
2018/4/16,18891.0,15699.0,14885.0
2018/4/17,21792.0,20558.0,15059.0
2018/4/18,21792.0,20558.0,15059.0
2018/4/19,18269.0,16012.0,15000.0
2018/4/20,20236.0,15145.0,7000.0
2018/4/21,18146.0,15910.0,8292.0
2018/4/23,18020.0,14659.0,11985.0
2018/4/24,18985.0,15179.0,15000.0
2018/4/25,19617.0,15667.0,13229.0
2018/4/26,21489.0,19998.0,17973.0
2018/4/27,20052.0,17907.0,13649.0
2018/4/28,21504.0,19309.0,14525.0
2018/4/30,20432.0,18300.0,10762.0
2018/5/1,21690.0,17194.0,15138.0
2018/5/2,21250.0,18500.0,16625.0
