iter	RMSE
0	7137.252001	1	7092.113682	2	7055.434633	3	7119.936484	4	7091.946405	5	7062.881526	6	7027.835317	7	7003.599638	8	6973.790359	9	6888.911421010	6859.421331111	6827.128831212	6803.2
13	6774.540544
14	6754.284247
15	6727.860062
16	6699.810093
17	6680.556362
18	6660.378517
19	6636.348137
20	6619.777677
21	6598.26606
22	6584.907351
23	6562.00595
24	6542.649132
2525	6437.096012626	6423.6505627	6488.168509
228	6391.092809229	6371.095849330	6354.446617331	631	6476.81332	632	6460.66333	6318.729001334	34	6428.927335	35	6409.432136	36	6395.737	37	37	6387.638	38	38	6373.039	3939	6355.4040	4040	6345.641	64141	6331.242	64242	6315.471044343	6307.444	644	6177.32345	64545	6277.946	46	46	6266.847	47	47	6256.05048	648	6241.14849	649	622750	650	650	6214.45151	651	6205.030014
52	619553	6130.53	618454	611754	617755	6103.55	616956	6094.56	61557	60857	57	61558	6066.558	61359	6052.559	6130.772548
60	61161	6032.061	61062	6024.162	61063	6011.763	60864	5999.264	6065	5990.2765	6066	5984.6166	6067	5981.0967	6068	5970.6168	6038.395757
69	6070	5958.0870	6071	5951.3471	672	5944.37572	673	5940.04973	74	5926.52537475	5920.765037576	5915.8356876	5977.033245
77	5967.289442
78	5961.550508
79	5952.400562
80	5945.64987
81	5938.427137
82	5932.880828
83	5924.400439
84	5917.076705
85	5910.049478
86	5897.856362
87	5891.495031
88	5882.922016
89	5878.78646
90	5870.580397
91	5866.856589
92	5856.062904
93	5850.113685
94	5843.841982
95	5833.440492
96	5827.862341
97	5823.205175
98	5819.968223
99	5815.747244
100	5809.701928
101	5803.153186
102	5796.717572
103	5789.572665
104	5783.924145
105	5775.243263
106	5766.354966
107	5758.938756
108	5751.032235
109	5743.343662
110	5736.886381
111	5733.875434
112	5727.831101
113	5725.189371
114	5716.637949
115	5708.070482
116	5699.618496
117	5695.729273
118	5690.0937241119	5680.12744
120	5676.744798
121	5670.2370641122	5664.3034951123	5654.4563391124	5645.0878051125	5641.4805731126	5631.9519671127	5624.7939361128	5618.9931371129	5614.2191381130	5606.4479551131	5602.3875851132	5596.0546121133	5591.5291781134	5587.8422461135	5583.021676
136	5579.384549
137	5574.912154
138	5565.542151
139	5557.734375
140	5550.969622
141	5546.844132
142	5539.406632
143	5535.641687
144	5529.667997
145	5524.15575
146	5521.108153
147	5511.037284
148	5506.951091
149	5501.464409
150	5496.468483
151	5486.779702
152	5479.508921
153	5474.655326
154	5470.02026
155	5464.254902
156	5461.342361
157	5456.152751
158	5454.289893
159	5446.699569
160	5439.505086
161	5434.239242
162	5430.98849
163	5425.067839
164	5421.959587
165	5416.278986
166	5409.176838
167	5403.811746
168	5399.212123
169	5393.884909
170	5388.000944
171	5382.502901
172	5378.539092
173	5374.683605
174	5370.286815
175	5361.65269
176	5355.203601
177	5350.979165
178	5347.712914
179	5345.84895
180	5343.223684
181	5338.501846
182	5333.103826
183	5330.056291
184	5324.739957
185	5321.198007
186	5317.242558
187	5313.880965
188	5308.866538
189	5304.886855
190	5297.997747
191	5291.544568
192	5283.827541
193	5280.492116
194	5275.923685
195	5272.822326
196	5269.167882
197	5263.648922
198	5260.670455
199	5256.861369
200	5249.597667
201	5246.154496
202	5239.75618
203	5237.329181
204	5233.262191
205	5229.326653
206	5225.340445
207	5219.009859
208	5215.325774
209	5211.173161
210	5204.817311
211	5201.398417
212	5199.28484
213	5196.760251
214	5188.492507
215	5187.393994
216	5181.811246
217	5179.826011
218	5173.908275
219	5168.370715
220	5164.418378
221	5157.52485
222	5152.521968
223	5150.982096
224	5145.069629
225	5138.934065
226	5136.456016
227	5134.053374
228	5131.03425
229	5126.88158
230	5121.420452
231	5113.738038
232	5112.077535
233	5105.300453
234	5099.417705
235	5094.159389
236	5091.759115
237	5088.011732
238	5085.097947
239	5082.102363
240	5075.443796
241	5069.274764
242	5065.149917
243	5063.728131
244	5060.375739
245	5056.816994
246	5054.91639
247	5054.007096
248	5050.290164
249	5043.748663
250	5040.485969
251	5034.655698
252	5033.531347
253	5033.342208
254	5027.460565
255	5021.12233
256	5020.812488
257	5018.384025
258	5014.329804
259	5011.198856
260	5009.145684
261	5008.525396
