date,item,m_가락시장,m_강서농수산물시장,m_구리농수산물시장,m_노량진시장,m_마포농수산물시장,m_부산민락어민활어직판장,m_소래포구종합어시장,m_수원농수산물시장,m_안양평촌농수산물시장,m_인천종합연안부두어시장,avgPrice,avgPrice_lag_1
2015-02-25,농어,1,0,0,0,0,0,0,0,0,0,20000.0,
2015-02-26,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-02-27,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-02-28,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-01,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-02,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-03,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-04,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-05,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-06,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-06,농어,0,0,0,1,0,0,0,0,0,0,20000.0,
2015-03-07,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-07,농어,0,0,0,1,0,0,0,0,0,0,20000.0,20000.0
2015-03-08,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-08,농어,0,0,0,1,0,0,0,0,0,0,20000.0,20000.0
2015-03-09,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-09,농어,0,0,0,1,0,0,0,0,0,0,20000.0,20000.0
2015-03-10,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-10,농어,0,0,0,1,0,0,0,0,0,0,20000.0,20000.0
2015-03-11,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-11,농어,0,0,0,1,0,0,0,0,0,0,20000.0,20000.0
2015-03-12,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-12,농어,0,0,0,1,0,0,0,0,0,0,20000.0,20000.0
2015-03-13,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-13,농어,0,0,0,1,0,0,0,0,0,0,20000.0,20000.0
2015-03-14,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-14,농어,0,0,0,1,0,0,0,0,0,0,25000.0,20000.0
2015-03-15,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-15,농어,0,0,0,1,0,0,0,0,0,0,25000.0,25000.0
2015-03-16,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-16,농어,0,0,0,1,0,0,0,0,0,0,25000.0,25000.0
2015-03-17,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-17,농어,0,0,0,1,0,0,0,0,0,0,25000.0,25000.0
2015-03-18,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-18,농어,0,0,0,1,0,0,0,0,0,0,25000.0,25000.0
2015-03-19,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-19,농어,0,0,0,1,0,0,0,0,0,0,25000.0,25000.0
2015-03-20,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-20,농어,0,0,0,1,0,0,0,0,0,0,25000.0,25000.0
2015-03-21,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-21,농어,0,0,0,1,0,0,0,0,0,0,25000.0,25000.0
2015-03-22,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-22,농어,0,0,0,1,0,0,0,0,0,0,25000.0,25000.0
2015-03-23,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-23,농어,0,0,0,1,0,0,0,0,0,0,25000.0,25000.0
2015-03-24,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-24,농어,0,0,0,1,0,0,0,0,0,0,25000.0,25000.0
2015-03-25,농어,1,0,0,0,0,0,0,0,0,0,20000.0,20000.0
2015-03-25,농어,0,0,0,1,0,0,0,0,0,0,25000.0,25000.0
2015-03-26,농어,1,0,0,0,0,0,0,0,0,0,30000.0,20000.0
