priceDate,market,광어_avgPrice,농어_avgPrice,대게_avgPrice,방어_avgPrice,연어_avgPrice,우럭_avgPrice,참돔_avgPrice
2015-02-22,노량진시장,,,45000.0,,,,
2015-02-23,노량진시장,,,45000.0,,,,
2015-02-24,노량진시장,,,45000.0,,,,
2015-02-25,가락시장,25000.0,20000.0,,,5000.0,,
2015-02-25,노량진시장,,,45000.0,,,,
2015-02-26,가락시장,25000.0,20000.0,,,5000.0,,
2015-02-26,노량진시장,,,45000.0,,,,
2015-02-27,가락시장,25000.0,20000.0,,,5000.0,,
2015-02-27,노량진시장,,,45000.0,,,,
2015-02-28,가락시장,25000.0,20000.0,,,5000.0,,
2015-02-28,노량진시장,,,45000.0,,,,
2015-03-01,가락시장,25000.0,20000.0,,,5000.0,,
2015-03-01,노량진시장,,,45000.0,,,,
2015-03-02,가락시장,25000.0,20000.0,,,5000.0,,
2015-03-02,노량진시장,,,45000.0,,,,
2015-03-03,가락시장,25000.0,20000.0,,,5000.0,,
2015-03-03,노량진시장,,,45000.0,,,,
2015-03-04,가락시장,25000.0,20000.0,,,5000.0,,
2015-03-04,노량진시장,,,45000.0,,,,
2015-03-05,가락시장,25000.0,20000.0,,,5000.0,,
2015-03-05,노량진시장,,,45000.0,,,,
2015-03-06,가락시장,25000.0,20000.0,,,5000.0,,
2015-03-06,노량진시장,30000.0,20000.0,45000.0,,,,35000.0
2015-03-07,가락시장,25000.0,20000.0,,,5000.0,,
2015-03-07,노량진시장,30000.0,20000.0,45000.0,,,,35000.0
2015-03-08,가락시장,25000.0,20000.0,,,5000.0,,
2015-03-08,노량진시장,30000.0,20000.0,45000.0,,,,35000.0
2015-03-09,가락시장,25000.0,20000.0,,,5000.0,,
2015-03-09,노량진시장,30000.0,20000.0,45000.0,,,,35000.0
2015-03-10,가락시장,25000.0,20000.0,,,5000.0,,
2015-03-10,노량진시장,30000.0,20000.0,45000.0,,,,35000.0
2015-03-11,가락시장,25000.0,20000.0,,,5000.0,,
2015-03-11,노량진시장,30000.0,20000.0,45000.0,,,,35000.0
2015-03-12,가락시장,25000.0,20000.0,,,5000.0,,
2015-03-12,노량진시장,30000.0,20000.0,45000.0,,,,35000.0
2015-03-13,가락시장,25000.0,20000.0,,,5000.0,,
2015-03-13,노량진시장,30000.0,20000.0,45000.0,,,,35000.0
2015-03-14,가락시장,25000.0,20000.0,,,5000.0,,
2015-03-14,노량진시장,30000.0,25000.0,45000.0,,,,30000.0
2015-03-15,가락시장,25000.0,20000.0,,,5000.0,,
2015-03-15,노량진시장,30000.0,25000.0,45000.0,,,,30000.0
2015-03-16,가락시장,25000.0,20000.0,,,5000.0,,
2015-03-16,노량진시장,30000.0,25000.0,45000.0,,,,30000.0
2015-03-17,가락시장,25000.0,20000.0,,,5000.0,,
2015-03-17,노량진시장,30000.0,25000.0,45000.0,,,,30000.0
2015-03-18,가락시장,25000.0,20000.0,,,5000.0,,
2015-03-18,노량진시장,30000.0,25000.0,45000.0,,,,30000.0
2015-03-19,가락시장,25000.0,20000.0,,,5000.0,,
2015-03-19,노량진시장,30000.0,25000.0,45000.0,,,,30000.0
2015-03-20,가락시장,25000.0,20000.0,,,5000.0,,
2015-03-20,노량진시장,30000.0,25000.0,45000.0,,,,30000.0
2015-03-21,가락시장,25000.0,20000.0,,,5000.0,,
